catalog,thickness,g60,LAB_L_dmin,LAB_L_dmax,LAB_A_dmin,LAB_A_dmax,LAB_B_dmin,LAB_B_dmax,logroughness
4793d,0.281,8.952972944655741,88.29,36.82,-0.8,0.06,15.11,7.46,2.6087681176150097
4793e,0.324,11.819403183794705,87.61,22.52,1.91,0.25,17.64,-0.29,2.3780492993200113
4793f,0.318,-10.293299229838638,88.02,28.79,1.64,0.02,24.45,3.93,3.0913514141970175
4793g,0.286,1.1511763449857,88.96,31.69,0.94,-0.0,19.21,0.88,2.8195609207877883
4793h,0.289,-5.105503927832771,89.87,41.16,-1.0,-0.34,15.27,3.33,3.103819271158017
4794,0.153,10.42728,89.92,,-1.39,,10.22,,2.3706225928934397
4795,0.335,13.98796,89.33,,-0.23,,8.88,,2.24696001462661
4796,0.259,6.597508,88.63,,-0.39,,11.88,,2.0549672864074604
4797,0.138,13.24715,88.28,,-2.04,,10.4,,1.70656717615514
4798,0.14,7.938069,89.01,,-1.75,,9.69,,2.012142714982689
4799,0.125,62.37801,61.33,,5.23,,16.78,,2.0524770124827634
48,0.161,52.74365,91.85,,-0.38,,1.89,,1.6395676741968934
4800,0.324,9.813372,90.09,,2.62,,19.22,,1.7726225784005223
4801,0.176,61.74974,90.44,,-1.03,,3.83,,1.3762377205045908
4802,0.176,63.53529,89.93,,-0.18,,1.12,,1.4403835426102036
4804,0.156,10.2833,89.09,,-1.68,,11.76,,2.2294276909430093
4808,0.142,7.842395,90.39,,2.15,,6.34,,2.6326916521697727
4809,0.242,31.0309,95.66,,-0.74,,1.1,,2.119141179868829
4810,0.239,12.38097,95.9,,-0.49,,0.87,,1.4818201297661189
4811,0.249,26.50809,62.59,,-0.5,,37.47,,3.902575564519139
4812,0.256,26.11629,94.6,,2.23,,-1.15,,1.7271081777179413
4813,0.269,26.98362,93.84,,-1.7,,5.7,,2.3917272020875853
4814,0.175,60.04224,94.46,,-0.37,,2.32,,1.4993565628047112
4815,0.168,54.86255,93.03,,-0.14,,-0.9,,1.6293508832552561
4816,0.161,61.23075,93.25,,1.06,,5.65,,1.3198743842379455
4817,0.158,65.44415,92.98,,0.61,,8.13,,1.333999871823558
4818,0.241,33.50385,94.54,,0.4,,5.04,,1.5952293945011553
4819,0.171,55.31519,92.77,,0.62,,9.27,,1.4044368262462907
4820,0.338,7.60819,91.46,,-0.41,,13.22,,2.320065326319921
4821,0.353,10.06487,93.32,,-1.05,,9.38,,1.9255244233444415
4822,0.173,47.07152,91.19,,-0.76,,2.15,,1.874848622487838
4823,0.19,7.718089,,,,,6.181050722400811,,1.792718579041234
4824,0.179,6.871402,,,,,6.386048140875581,,1.8802379278051076
4825,0.339,8.134617,,,,,7.632510873155,,1.7941360125836967
4826,0.182,5.845713,,,,,6.578284220656342,,1.921246175644498
4827,0.323,7.312921,,,,,7.466453473450902,,1.7848045170089595
4828,0.178,7.121229,,,,,5.761616597642623,,1.6970345661406254
4829,0.335,8.175442,90.84,,-0.43,,13.7,,2.3537696266752226
4830,0.371,13.07536034304907,92.95,,-0.59,,8.68,,2.3780567904938925
4831,0.36,16.61563648752613,93.81,,-0.66,,7.62,,2.2874076375403085
4832,0.175,44.35848,90.05,,-1.07,,4.25,,1.8702736184073085
4833,0.186,45.57031,92.33,,-0.31,,0.97,,1.8944568963742783
4835,0.18,51.94093,93.18,,-0.7,,4.39,,1.5517620535919776
4836,0.165,61.76083,91.58,,2.25,,14.71,,1.2741054799099383
4837,0.293,11.76845,87.46,,-1.16,,11.54,,2.5089546184678557
4838,0.28,44.92666,85.29,,-0.64,,12.66,,2.174807577242712
4839,0.173,2.856279,94.15,,-0.69,,4.35,,2.7265460357498648
4840,0.311,12.19753,89.72,,3.19,,19.98,,1.826922366096286
4841,0.278,11.43131,91.67,,1.7,,16.7,,1.5783407777143599
4842,0.188,10.80712,,,,,5.798437289356975,,1.7076305270009402
4843,0.181,9.386189,,,,,5.996124837039997,,1.7766451902123224
4844,0.364,8.071549,,,,,9.040951986312002,,2.144265181271277
4845,0.12,6.654192,94.03,,-0.27,,6.9,,2.639147337077634
4846,0.308,52.90397,88.55,,2.54,,10.93,,1.7397322420208472
4847,0.167,74.79517,93.81,,-1.27,,4.82,,1.247352047513883
4850,0.285,59.1065,95.85,,0.7,,-0.04,,1.4831640621708209
4851,0.23666423474463974,52.58413,93.67,,0.21,,6.75,,1.3974767132028887
4854,0.278,49.45914,93.2,,0.01,,8.02,,1.4979711432933527
4855,0.351,7.591033,90.99,,0.24,,18.87,,2.9303674400761466
4857,0.284,5.28642,93.59,,-1.24,,11.55,,2.495278347196674
4858,0.287,4.911237,93.75,,-1.08,,11.7,,2.5552533395302794
4859,0.279,62.18308,91.53,,1.43,,6.71,,1.488662655930395
4860,0.339,61.21459,96.42,,0.99,,-0.89,,1.1771139960790185
4861,0.343,61.46854,96.58,,0.93,,-0.75,,1.2361885958270245
4862,0.172,12.39188,94.14,,-0.96,,3.34,,1.9668385837938307
4863,0.263,26.5779,93.8,,-1.19,,1.5,,2.3891263542670145
4864,0.238,88.30922,93.86,,-0.96,,1.49,,0.7368761939761848
4865,0.253,23.15666,93.64,,-2.09,,1.5,,2.5009298004806304
4866,0.243,6.954624,95.39,,1.32,,-1.06,,2.1789119294151997
4867,0.259,21.40612,95.55,,0.22,,0.67,,2.5862934630408407
4868,0.289,15.40345,92.12,,0.31,,5.83,,3.1821676500901064
4869,0.261,4.718406,90.64,,2.72,,17.85,,2.741832441081238
4870a,0.181,35.01545,62.38,,-0.62,,40.78,,4.131846436610617
4870b,0.188,35.22493,67.78,,-0.72,,-0.87,,4.198689481910429
4870c,0.203,23.23968,60.07,,10.75,,15.88,,2.3404869187853516
4874,0.287,7.633196,91.02,,1.49,,19.59,,2.1399813604227047
4875,0.155,61.03675,91.77,,-0.27,,2.75,,1.4352496296459585
4877,0.283,41.27251,86.32,,0.77,,16.04,,1.6880648801838884
4878,0.165,72.27104,90.65,,-0.24,,2.01,,1.376594043739241
4879,0.175,41.40411,87.71,,-0.11,,8.22,,1.5945132427133022
4880,0.286,5.898451,92.77,,-2.01,,10.88,,2.9282038915257553
4881a,0.21053082611311025,93.48,95.04,15.84,-1.18,0.93,7.95,3.87,0.8975499613975063
4881b,0.24663035007355663,27.29428,93.54,12.67,1.59,1.25,3.12,0.93,2.150493560913804
4881c,0.19413726064114828,96.98325,94.8,14.51,1.0,1.9,1.16,2.72,0.7260394274109846
4881d,0.26579231339674997,2.89898,94.82,37.79,0.94,0.31,3.96,1.67,1.7657001600823838
4881e,0.260693709290718,14.23091,93.29,13.58,0.58,0.16,5.67,2.94,2.94591819502587
4881f,0.24662296962634533,24.40577,94.12,18.0,0.81,0.79,2.15,2.17,2.235787806232995
4881g,0.18978359722785343,98.90129,95.18,12.48,2.42,0.34,-0.25,1.62,0.8954895031400147
4881h,0.1926593929472277,96.02556,95.11,9.55,2.24,0.92,0.14,3.53,0.8189545432874329
4881i,0.20196700114814564,94.31473,94.21,10.42,1.8,0.75,4.06,5.34,0.7985961176934288
4881j,0.27438475558656145,6.101871,93.88,36.17,-0.41,-0.1,9.24,3.41,1.8436108891193532
4881k,0.2826072664549942,1.760946,93.02,31.98,-0.59,0.26,11.88,-1.08,2.3902690683916625
4881l,0.26866097268897465,8.194367,93.26,27.17,-0.05,0.29,7.29,-0.98,2.2631033142483394
4882a,0.21737253148173077,88.82809,85.53,12.97,-0.5,0.82,9.81,1.8,1.4269811699760155
4882b,0.2144245589524138,90.10826,86.09,10.66,-0.39,0.58,8.81,2.73,1.3904414995139784
4882c,0.27573026832006103,2.153181,89.79,30.9,-0.5,0.29,8.57,0.35,1.9566125641363965
4882d,0.2764641337711548,2.416025,90.94,30.11,-0.41,0.28,9.04,0.88,2.0515879624181754
4882e,0.2699266083784452,14.9015,86.73,14.54,-0.81,0.92,10.08,1.86,1.8029593632162606
4882f,0.27239613138086904,13.50829,90.12,19.76,-0.46,0.42,10.84,2.96,1.9582909732426452
4882g,0.27470088013470906,7.327306,90.56,23.58,-0.68,0.61,9.93,0.79,2.3005901076818
4882h,0.2784223680818924,8.481495,89.94,19.23,-0.91,0.46,12.18,1.75,2.5011921505809815
4882i,0.2728253693213416,12.01498,91.24,19.71,-0.15,0.4,10.64,2.78,2.3586776943948657
4882j,0.28108383676285104,12.34018,85.1,18.05,-0.07,0.53,14.83,3.0,2.6563401878060575
4882k,0.29359899613690205,2.525635,91.51,30.24,-0.57,0.5,17.42,0.86,2.2019103350056666
4882l,0.2906344772046283,11.54086,88.69,13.53,0.18,0.87,19.19,3.31,2.6761716740389714
4882m,0.2890992292650393,7.773941,86.42,18.39,1.63,0.75,17.28,1.37,3.15425843787713
4882n,0.27487317490885727,6.043646,85.67,20.32,-1.26,0.47,9.69,0.63,2.7506960541131606
4882o,0.21473359714293155,87.78954,86.65,12.56,-0.17,0.56,8.14,3.72,1.2878621237619137
4882p,0.25255550607193533,37.43699,86.28,15.35,-0.03,0.46,9.32,5.61,1.5984657666494546
4882q,0.28140076050129037,3.244526,89.18,29.35,0.02,0.2,11.75,2.2,2.1843722865969464
4882r,0.2838971126308226,7.852055,90.92,22.32,-0.7,0.27,14.56,3.39,2.27646832557238
4882s,0.28431336773225313,12.64926,89.0,13.85,-0.04,0.45,16.55,4.37,2.847527847035692
4882t,0.2919109467936546,4.22604,89.08,26.69,1.26,0.33,17.24,1.85,2.4206215367628943
4882u,0.2967990217765613,7.251832,88.84,19.91,1.06,0.42,20.61,2.66,2.2877196267589777
4882v,0.28993141262657607,15.01863,89.04,11.53,1.35,0.54,20.1,3.98,2.9123978728213977
4882w,0.20523476617417052,90.98201,89.03,11.64,-0.02,1.57,4.64,5.31,1.3303931590150244
4882x,0.2697477670994756,12.53343,90.76,11.75,-0.18,1.72,9.29,3.8,2.218902540513318
4882y,0.23333613795490732,88.57262,89.25,6.53,1.08,0.82,17.44,2.68,1.3537818324160686
4884a,0.2871369113949669,10.09405,89.01,16.55,-1.86,0.45,17.07,4.62,2.9485418882585774
4884b,0.28304160147853696,7.143664,92.32,38.86,-1.81,-0.43,14.02,9.48,2.731451026370038
4884c,0.27781720057622294,7.155016,90.72,34.61,-1.35,5.64,11.5,7.72,2.762366738068941
4884d,0.270836437887201,11.72465,93.52,13.09,-1.53,0.49,9.84,5.66,3.382382901590952
4884e,0.210860391280847,93.12565,87.34,14.38,-1.05,1.03,8.03,2.88,1.0590882778377153
4884f,0.2755241121194934,7.809345,94.27,25.29,-1.24,0.28,10.54,2.53,2.479924548016064
4884g,0.27339518439558835,8.388565,92.71,26.65,-1.36,4.22,9.69,7.7,2.415845672747319
4884h,0.28931949828923337,11.27698,88.67,22.09,-1.41,0.37,18.52,5.19,2.9000088416745835
4884i,0.276657392906221,9.604764,90.84,17.06,-1.48,0.56,11.92,5.72,3.321796910890636
4884j,0.27979537514884856,13.44889,89.92,22.96,-1.87,-0.08,14.59,10.37,2.6759653734629856
4884k,0.27565436121300363,8.026527,93.96,24.11,-1.23,0.26,10.61,4.87,2.217656067353558
4884l,0.27269125312252224,8.848201,92.97,21.37,-1.1,6.92,9.49,6.94,2.3530903685336773
4884m,0.270275932819545,7.04814,93.76,22.67,-1.32,0.29,7.74,2.83,2.494766629456699
4884n,0.26360207293129956,10.46992,91.2,29.6,-1.05,0.06,5.51,6.69,1.8469826751256915
4884o,0.2707653592680876,15.17903,91.95,13.26,-1.62,0.27,10.93,5.02,3.158631279652045
4884p,0.2057218393177007,89.741,86.99,24.14,-0.87,0.09,4.46,3.27,1.3637991302878165
4884q,0.2724043235736393,14.09316,88.96,24.56,-0.34,-0.02,11.24,5.79,2.720228162673916
4884r,0.25231013821604065,11.74663,88.78,28.36,0.25,0.42,0.57,-0.26,2.218077099413576
4884s,0.28165274266848794,4.544713,89.24,28.7,-1.12,0.4,12.52,2.15,2.973912211002156
4884t,0.20373179878769546,95.62787,85.91,14.42,-0.8,0.8,5.45,5.48,1.130879562696918
4884u,0.19029682293014039,94.04942,90.78,13.65,0.74,1.69,-1.6,1.47,1.134422970079083
4884v,0.2093536576257937,90.21929,88.88,20.73,-0.9,0.29,6.34,5.4,1.1938529794684096
4884w,0.2738061919726295,7.224656,91.99,24.04,-0.98,0.06,9.53,1.8,2.5678019361070263
4884x,0.26968096769134936,11.19311,92.65,41.24,-1.7,-0.99,9.12,8.15,3.4673097509601507
4884y,0.2782818298363217,4.799814,89.85,25.5,-1.15,1.24,10.96,1.92,2.920684362217168
4886,0.291,52.51771,93.34,,0.12,,7.18,,1.4888867402334276
4887,0.291,49.01112,93.49,,0.14,,6.89,,1.5693489144538721
4888,0.176,39.97109,91.45,,-0.27,,0.38,,1.8907148332949546
4889,0.165,50.57208,91.06,,-0.76,,2.53,,1.4700272711979274
4890,0.283,48.53428,93.94,,0.17,,2.71,,1.7109227164693566
4891,0.292,59.9565,93.05,,-0.17,,4.1,,1.6389622595143227
4892,0.289,54.68557,93.78,,0.06,,3.4,,1.5153115027408393
4893,0.29,14.39267,93.54,,-0.48,,12.3,,2.0558499612191703
4894,0.304,13.77028,93.79,,-0.71,,12.06,,2.3484401836344015
4895,0.172,49.11545,92.86,,-0.42,,1.76,,1.6849863587011131
4896,0.172,14.1472,93.38,,-1.03,,4.57,,1.865322634570277
4897,0.292,57.9654,93.45,,0.2,,2.55,,1.5163804305491508
4898,0.261,13.96812,93.47,,-0.77,,11.82,,2.4632980554767063
4899,0.29,41.81824,93.65,,0.23,,2.83,,1.4594687756317624
49,0.158,10.40883,92.27,,-0.62,,2.71,,1.2370064639666711
4900,0.172,55.11552,93.34,,-0.22,,0.9,,1.637042990184748
4901a,0.303,18.16593,94.74,,-0.81,,11.18,,2.422763297629809
4901b,0.306,15.08029,93.76,,0.02,,12.85,,2.688964852946815
4901c,0.297,13.91479,94.41,,-0.64,,10.87,,2.6681994374405704
4902,0.13,12.0079,90.41,,-1.47,,7.76,,2.710368692475021
4903a,0.1295,10.96709,86.58,11.44,-0.21,0.54,2.74,0.22,2.14474503719363
4903b,0.2425,32.84626,85.61,8.85,-0.39,1.8,1.49,1.53,1.7964531394833254
4903c,0.2365,92.74287,86.3,12.06,-0.41,0.75,0.5,0.39,0.918481146148598
4903d,0.2329999999999999,86.61999,86.56,9.47,-0.38,0.97,1.28,2.01,1.027510545633519
4903e,0.321,12.18783,85.23,11.73,-0.44,0.16,7.51,0.89,2.2581764623113503
4903f,0.356,42.38496,88.28,13.31,-1.09,0.37,7.09,7.46,1.8169652463116206
4903g,0.183,9.172478,89.02,22.56,1.44,0.37,-0.76,-0.03,2.0701159089854597
4903h,0.4065,8.730837,89.78,16.61,-0.98,0.28,8.46,3.82,2.3322686473871035
4903i,0.3615,56.14664,85.26,11.95,1.65,1.68,-2.06,-3.87,1.3628346999482956
4903j,0.3625,8.082992,88.48,17.14,-0.5,0.43,8.49,4.46,2.3432543015787672
4904,0.402,10.11427,94.28,,-1.43,,12.46,,2.229099057070532
4905,0.17,12.35118,93.05,,-1.03,,4.5,,1.96372716443553
4906,0.247,21.27169,94.76,,-0.43,,4.66,,2.6532719732285153
4907,0.265,23.04148,94.35,,-0.59,,4.42,,2.2472793928425796
4911a,0.11,1.934586,84.29,42.61,-0.34,-0.2,14.55,-4.12,2.6072593847679664
4911b,0.15,1.51181,85.74,33.55,-0.48,3.94,14.06,6.19,2.5985493531033974
4911c,0.17,43.21046,83.76,22.23,-1.68,1.65,9.7,6.12,1.8830250172703655
4911d,0.3,2.173366,84.65,56.35,-0.58,10.2,12.73,25.67,2.4915840333143837
4911e,0.26,1.616428,84.11,32.37,2.65,1.32,23.69,2.85,2.7932279623228715
4911f,0.15,5.680106,84.71,26.23,-0.19,0.67,15.43,3.42,2.0815401957630044
4911g,0.21,5.372116,71.39,35.83,-0.39,0.42,11.37,3.84,2.466421642390929
4911h,0.19,1.788852,81.19,32.71,-0.28,0.91,10.55,2.2,2.494523795843045
4911i,0.16,33.36122,67.88,20.16,-0.86,0.47,10.04,2.39,2.0326418700652735
4911j,0.22,6.167395,79.81,25.86,-0.95,0.61,13.41,1.47,2.5125959913526996
4912a,0.281,37.55936,88.47,28.35,0.94,0.46,13.26,2.74,1.4439836256703984
4912aa,0.303,2.813139,92.26,33.56,-0.6,-0.01,8.02,2.86,2.113516813517057
4912b,0.291,22.13278,90.11,32.16,1.26,0.21,14.87,4.06,1.9373293086646735
4912bb,0.306,2.457707,90.45,33.35,1.96,0.05,12.73,1.99,2.111918321284578
4912c,0.294,6.28693,90.3,28.25,-0.74,0.5,7.52,0.78,1.746508820701999
4912cc,0.289,3.635143,92.12,29.94,-1.08,-0.04,8.6,1.68,2.6255255489343794
4912d,0.31,7.765329,86.72,26.57,1.07,0.81,12.96,0.65,1.787364081573179
4912dd,0.283,3.627282,90.34,31.02,1.34,-0.02,16.08,4.7,2.8487801325210067
4912e,0.318,2.590373,89.33,30.25,-0.48,0.33,5.79,0.8,2.0642100236228607
4912ee,0.161,80.05792,91.18,25.07,-0.29,0.39,4.76,3.41,1.3375809819929858
4912f,0.327,3.00923,85.24,35.65,1.83,0.28,12.09,2.61,2.0836167198509
4912ff,0.163,73.00407,90.56,17.25,1.1,1.24,19.3,5.05,1.4271409744796715
4912g,0.261,1.826776,89.54,40.6,-0.04,-0.11,9.47,2.76,2.8904160603473925
4912gg,0.314,49.64926,91.7,32.86,-0.52,0.04,4.28,3.34,1.91431067555619
4912h,0.265,1.920292,87.19,32.51,1.76,0.42,16.48,0.23,3.016356838630291
4912hh,0.302,7.992522,91.62,20.47,-0.75,-0.95,9.55,2.49,1.8870527497606053
4912i,0.329,5.240647,90.69,36.78,-1.57,-0.31,8.12,1.76,2.8697582030286783
4912ii,0.331,6.389713,90.53,21.84,-1.55,-0.68,11.0,-0.69,2.4153355870573305
4912j,0.306,3.005006,86.14,31.54,-0.62,0.41,8.3,-1.46,1.9961418363627494
4912jj,0.147,23.24863,80.79,23.48,-2.44,8.1,10.31,8.91,2.2100086307684315
4912k,0.347,4.470198,88.4,28.78,0.78,0.27,19.52,1.77,2.951324312679551
4912l,0.31,7.693187,86.68,32.96,-1.44,-0.36,7.79,3.55,2.2876979779698345
4912m,0.307,6.852262,87.56,33.06,-0.32,0.01,18.69,2.59,2.6717571839548855
4912n,0.348,2.205249,89.83,37.12,-1.19,-0.11,9.24,0.62,2.7358394377826127
4912o,0.18,92.52798,85.74,24.79,-0.83,0.29,3.33,3.43,1.0925664510019142
4912p,0.312,64.61231,86.51,30.44,-0.46,0.23,3.73,6.12,1.6045400065796531
4912q,0.316,13.33627,87.92,22.86,-0.9,0.38,6.9,3.1,1.4010808538007933
4912r,0.299,42.25514,91.05,19.83,1.32,0.85,13.52,5.28,1.6443855070693851
4912s,0.31,4.130625,90.07,28.86,-0.67,0.2,6.73,1.24,1.822278049498387
4912t,0.297,5.746694,89.2,39.09,1.2,0.23,12.86,4.38,1.892314956422893
4912u,0.275,11.55312,91.23,34.31,-1.17,-0.12,6.94,2.17,3.232398574065407
4912v,0.286,9.248469,89.54,22.96,1.17,0.37,14.37,3.18,3.069248234422363
4912w,0.318,11.35031,92.24,25.23,-1.86,-0.12,8.76,4.37,2.1704518817307554
4912x,0.304,8.149491,89.27,25.5,0.03,0.21,20.24,4.62,2.556284444229254
4912y,0.302,4.76017,90.92,29.31,-0.58,0.12,7.61,2.15,2.0242837601445496
4912z,0.301,6.192279,90.38,33.62,-0.88,-0.34,15.91,5.67,1.8724487393853397
4913a,0.259,55.47465,85.15,8.2,0.19,0.6,12.32,2.82,1.4715202256317015
4913b,0.272,8.858793,86.66,18.91,0.13,0.36,7.47,1.76,2.4914385207552727
4913c,0.257,6.539039,90.18,21.04,2.28,0.06,12.25,0.62,1.7522307394070908
4913d,0.256,9.389563,85.17,21.14,2.04,0.07,14.02,0.96,2.7728119142992385
4913e,0.253,9.339113,90.9,19.15,0.44,0.3,8.2,0.99,2.6173461570501804
4913f,0.257,6.686765,88.53,27.58,2.45,0.44,11.75,3.73,1.7612080829375616
4913g,0.174,93.7528,91.65,13.77,-0.58,0.21,5.61,1.75,1.0326411135954514
4913h,0.161,92.48028,88.11,13.65,2.74,0.99,13.38,2.5,1.2378055750088748
4913i,0.255,36.87761,89.16,18.53,-1.05,0.16,11.31,1.92,1.516408711567826
4913j,0.256,7.736639,90.17,33.54,-0.98,-0.1,8.23,0.39,1.5047859119132025
4913k,0.247,12.21962,89.41,16.89,-1.06,0.42,9.15,1.27,2.7641149992281746
4913l,0.24,16.75028,87.42,18.64,1.7,0.5,17.12,1.92,1.6602659431008113
4913m,0.27,8.240089,90.09,17.55,0.8,0.7,11.03,1.35,2.561444819044424
4913n,0.285,2.691508,92.74,31.08,-1.08,1.76,8.87,1.94,1.6681487817846579
4913o,0.273,11.05939,92.9,11.2,-0.7,-0.94,6.86,2.34,3.1117335381984996
4913p,0.148,88.16249,88.26,11.89,0.19,1.22,12.72,4.12,1.4820659676426455
4913q,0.145,91.69014,88.27,15.94,1.51,0.92,17.41,4.34,1.5744170490781022
4914,0.351,9.289798,93.76,,-0.97,,5.92,,2.474961342296914
4915,0.35,3.993859,93.44,,-1.74,,9.6,,2.029034603521448
4916,0.17,42.94914,92.5,,0.35,,1.56,,1.5996513610903773
4919,0.166,53.77959,,,,,3.87524690586603,,1.5308964617847558
4920,0.282,4.661768,94.31,,-1.66,,10.1,,2.452330026232599
4921,0.306,4.303062,92.75,,-0.54,,12.49,,2.825980619169231
4922,0.299,4.541281,94.91,,-1.57,,10.32,,2.392895120584685
4923,0.279,5.250541,93.22,,-1.43,,12.62,,2.507879832327464
4926,0.302,10.12146,90.45,,1.17,,17.81,,2.002268389021637
4927,0.306,4.443374,89.29,,2.69,,20.07,,2.7167094224208426
4928a,0.20185976123826105,89.5061,94.49,17.41,0.35,-0.16,2.42,2.9,1.0215556257727147
4928b,0.20042213918508933,90.93781,94.09,14.12,0.99,0.39,2.21,2.13,1.0091549116512244
4928c,0.2421026642272218,32.84811,94.11,54.87,1.16,0.35,2.84,5.31,2.204375476592754
4928d,0.27232227642238976,5.602792,93.36,37.23,-0.14,0.07,8.24,2.37,2.505882707828759
4928e,0.2875011438265262,5.010088,91.75,27.49,0.6,0.35,15.38,3.04,2.4548069016286997
4929a,0.1,96.07807,90.72,14.53,1.57,0.29,3.16,2.74,0.9492739853262708
4929b,0.13,93.86137,89.92,10.75,3.6,0.63,13.88,3.64,1.2831743199042478
4929c,0.18,19.1504,88.73,13.86,3.28,0.45,18.22,3.42,2.465176396291192
4929d,0.14,93.59753,90.1,16.54,1.57,0.18,2.63,2.16,0.9686388333994322
4929e,0.22,90.64066,89.02,9.77,4.37,0.62,15.25,3.27,1.3656910030611307
4929f,0.28,12.03426,90.09,19.61,0.28,0.2,5.11,2.54,2.1933803765258792
4929g,0.25,19.72108,89.03,9.49,2.57,0.74,15.49,1.26,2.3783931095001813
4929h,0.22,5.157914,86.87,29.55,0.59,0.35,11.2,0.48,2.4644412401483984
4929i,0.17,12.77344,89.44,12.64,3.11,0.72,18.63,3.75,2.5674903633118733
4930,0.243,97.53272,94.66,,1.85,,-3.36,,0.5504679301304135
4932,0.313,43.50407,,,,,5.918442114328144,,1.632422870298713
4933,0.142,35.03461,76.12,,15.98,,15.22,,2.7053294475888037
4934,0.141,36.73593,77.3,,16.51,,12.81,,2.480888862230062
4936,0.145,10.98903,86.49,,-1.09,,13.09,,1.7493920205250055
4937,0.28,13.39349,87.85,,-1.12,,11.58,,2.01103729326958
4938,0.289,3.42494,92.53,,1.25,,15.12,,1.8154319716865075
4939,0.148,10.40116,86.82,,-1.56,,15.7,,2.2292796665011436
4941,0.145,17.4097,93.7,,1.37,,-7.26,,0.8096920209585579
4942,0.247,24.15048,90.57,,2.96,,-0.39,,1.8478628372067236
4943,0.252,97.26582,95.81,,-0.73,,1.83,,0.621431917285486
4944,0.324,43.95291,94.68,,0.17,,-0.78,,1.577315198749746
4945,0.2604999999999999,41.87081826470635,95.84,,0.25,,6.24,,1.5861895734342994
4946,0.242,96.19074,96.65,,-1.25,,2.87,,0.5987906877319173
4947,0.241,97.60072,96.61,,-1.82,,2.62,,0.585362191236717
4948,0.236,94.12605,96.45,,-0.93,,3.15,,0.5941031840085153
4949,0.239,8.550262499999999,96.37,,-0.96,,2.62,,1.7417664064009126
4950,0.286,9.361035,97.01,,-0.65,,4.85,,1.98941704595413
4951,0.373,57.0264,97.25,,1.0,,-1.43,,1.4576768329754588
4952,0.355,59.51669,97.25,,0.85,,-0.82,,1.4419623648589222
4953,0.352,56.36158,97.52,,1.08,,-1.99,,1.6261683025560734
4954a,0.14,3.923318,88.93,38.04,1.22,0.56,24.59,4.15,3.3561188668778343
4954b,0.18,18.29225,88.66,22.25,-1.15,0.52,11.46,4.41,1.819223879753177
4954c,0.24,33.63444,88.83,22.7,-0.94,0.34,7.76,4.06,1.6391870465398632
4954d,0.22,4.060174,85.74,47.59,-0.81,-1.67,9.61,-4.08,1.8813721437094082
4954e,0.22,7.235906,87.56,25.46,1.83,0.55,17.28,0.92,3.2755540477864105
4954f,0.14,11.986,82.47,21.54,0.32,5.72,10.1,6.6,1.8497398595817631
4954g,0.22,40.11686,87.58,24.4,-0.79,0.88,8.72,6.33,2.046884897094652
4954h,0.23,41.02557,87.25,27.24,-0.95,2.64,8.36,10.59,1.9477058052634895
4954i,0.35,40.11822,87.85,22.42,0.34,0.8,7.53,3.93,1.673778880873943
4954j,0.21,55.15952,87.44,17.86,-1.02,0.27,8.63,4.33,1.7761514091715522
4954k,0.27,2.279115,86.36,36.09,-0.8,0.75,9.85,1.31,1.9829699799094316
4954l,0.26,10.09279,88.1,19.9,1.06,0.88,19.35,4.71,2.021847894441633
4959,0.172,33.41104,90.26,,-1.26,,4.74,,1.3102759584770667
4960,0.288,7.959439,95.98,,0.19,,1.79,,1.8219346465956898
4961,0.312,48.18805,95.73,,0.24,,0.97,,1.5352289094047713
4962,0.17,50.12154,96.08,,0.75,,-0.51,,1.64303291328565
4963,0.163,51.26705,96.29,,0.58,,0.71,,1.6057811012738086
4964,0.253,46.2837,94.21,,-0.63,,4.58,,1.5309578365855165
4965,0.282,7.274573,94.36,,0.22,,2.39,,2.000021903790292
4966,0.282,7.45205,96.2,,-0.01,,1.94,,1.9688056901600086
4967,0.276,7.995278,93.0,,-0.74,,7.53,,2.006121871218009
4968,0.251,46.28869,95.49,,-0.41,,2.4,,1.2611685472778489
4969,0.249,46.38846,95.63,,-0.14,,1.74,,1.2802870035658207
4970,0.288,8.021676,93.84,,-0.72,,6.27,,1.865646110852687
4971,0.3,6.27003,95.84,,0.6,,2.58,,1.9262662372876131
4972,0.299,10.05027,94.36,,0.8,,11.84,,1.7672780058383062
4973,0.284,10.39772,94.25,,1.11,,12.85,,1.7569646180593788
4974,0.265,55.52391,94.65,,2.15,,-0.37,,1.3494371059214547
4975,0.146,43.90793,93.08,,1.08,,3.54,,1.4929018937010294
4976,0.15,47.67741,92.69,,0.94,,4.8,,1.4386550931684217
4977,0.28,11.90334,95.26,,0.36,,3.75,,1.5256689784770858
4978,0.166,54.1177,96.3,,0.92,,0.91,,1.7613540993807268
4979,0.174,53.43155,95.99,,0.56,,-1.22,,1.7402317834024459
4980,0.229,87.75864,94.81,,-0.77,,4.17,,0.6024763824748056
4981,0.232,93.78233,95.2,,-0.64,,3.32,,0.5964073619508967
4982,0.229,90.4718,95.44,,-0.65,,2.91,,0.6010190726373223
4983,0.231,91.72408,95.31,,-0.4,,2.57,,0.6428620839946633
4984,0.15,54.95298,92.71,,1.37,,3.14,,1.2700280408713285
4985,0.14,53.65621,92.71,,1.12,,4.24,,1.3988357319838602
4986,0.266,49.4774,94.1,,-0.88,,4.13,,1.3564388839037884
4987,0.261,39.33634,95.53,,0.58,,-0.7,,1.739463709014837
