catalog,thickness,g60,LAB_L_dmin,LAB_L_dmax,LAB_A_dmin,LAB_A_dmax,LAB_B_dmin,LAB_B_dmax,logroughness
1023p,0.375,10.572025855627999,87.55,31.07,-1.27,1.1,12.07,6.34,2.408396906553786
1023q,0.38,3.1942937657178163,81.83,33.72,1.0,2.55,23.41,9.84,2.4903248733175727
1023r,0.364,-11.125425123118234,87.65,38.79,0.18,-0.45,20.26,0.33,3.094962053091431
1023s,0.191,29.862652224468036,91.17,36.22,-1.39,0.02,7.8,-2.05,2.140088156329962
1023t,0.162,66.23601894956286,90.26,20.22,-1.06,0.18,8.12,4.14,0.8644296736291309
1023u,0.311,55.22907243380516,90.6,17.75,-0.95,0.76,7.04,4.82,0.9841763912338524
1023v,0.334,0.6451657686213679,88.01,22.28,-0.6,0.39,12.07,2.42,2.853433672872926
1023w,0.406,-37.4324346604229,80.69,37.48,1.36,-0.03,30.91,-2.4,3.8049523378385954
1025,0.28,59.06444,96.2,,-0.25,,1.18,,1.206164788282443
1026,0.231,30.21858,93.5,,-0.35,,1.79,,1.3879804075494864
1028,0.315,63.45813,93.72,,1.1,,4.69,,1.3475389534143911
1029,0.247,59.23014,94.23,,0.32,,6.03,,0.5741726054563798
103,0.353,10.15804,94.07,,-0.61,,7.23,,2.5137476274784483
1030,0.278,23.7583,16.56,,0.1,,2.63,,3.5399945783720326
1033,0.152,42.07076,92.31,,-0.86,,2.01,,1.5919262159138745
1034,0.234,93.52643,94.64,,-1.39,,4.19,,0.6966285114252606
1035,0.236,25.61448,94.34,,-1.09,,4.36,,0.6573911706839803
1036,0.153,34.29456,91.38,,-0.66,,1.67,,1.867949421598395
1037,0.222,76.04561,85.46,,1.64,,10.33,,0.7808289605997534
1038,0.175,43.21613,94.25,,-0.67,,1.03,,1.0572016650565343
1039,0.24,84.95737,94.49,,-0.57,,2.68,,0.6557504033006285
104,0.169,27.9463,90.76,,0.52,,0.04,,1.4182488503491204
1040,0.184,58.63115,92.03,,0.17,,0.41,,1.5718146859729138
105,0.155,27.95667,90.96,,0.84,,-0.17,,1.717378206380011
106,0.173,31.77229,89.16,,0.12,,0.76,,1.3175931372835026
107,0.165,48.05841,92.92,,0.35,,1.45,,1.5810769858653666
108,0.167,38.72027,91.29,,0.63,,-0.44,,1.9298405227288091
109,0.175,63.05759,91.94,,0.4,,-2.75,,1.5160537730708858
11,0.363,9.255589,94.01,,-0.34,,9.12,,3.0944254958106616
110,0.172,48.74689,92.3,,-0.65,,2.0,,1.7674140427707847
111,0.175,56.39571,91.95,,0.51,,-2.51,,1.6633378558180865
112,0.192,13.93359,91.23,,-0.65,,4.79,,1.9798418806547555
113,0.368,6.185472,93.71,,-0.99,,11.07,,2.530240135105966
114,0.321,-4.107729070508839,93.05,,-0.89,,9.63,,3.0914026325886237
115,0.176,59.87507,95.82,,-0.75,,2.05,,1.3501207005272131
116,0.169,62.2257,92.66,,-0.51,,1.36,,1.4905635406894628
117,0.308,48.23056,92.55,,-0.07,,3.92,,1.480601365735588
118,0.24,54.25431,90.93,,-1.83,,9.08,,1.2554978068075404
119,0.226,11.84727,88.69,,1.89,,3.41,,1.9876953047409176
120,0.233,94.94874,90.49,,-1.22,,9.34,,0.9106456489939175
121,0.239,33.47453,90.12,,-0.99,,11.72,,2.1693203776877272
122,0.245,98.14624,88.12,,2.69,,0.52,,0.71915977773613
1223,0.146,41.27482,86.85,,-1.14,,16.93,,1.858753043364533
123,0.257,95.10912,81.53,,-2.97,,14.14,,0.7505458778317998
124,0.179,48.05145,92.37,,-0.01,,1.65,,1.7521836005759097
125,0.177,9.365667,95.73,,-0.84,,4.25,,2.0281945512207487
126,0.166,56.79453,93.4,,-0.64,,0.49,,1.3877578606768606
128,0.159,6.114184,89.15,,-1.45,,11.2,,2.6837998761991058
129,0.155,62.25845,85.9,,0.17,,6.7,,1.3710146357943767
13,0.182,41.16193,91.64,,1.54,,1.75,,1.6870760715361621
130,0.26804659153238786,7.484579,96.11,,-1.25,,6.59,,1.643173080863677
131,0.33,16.19821,94.03,,-0.7,,2.36,,1.946851936300156
132,0.131,57.64864,87.16,,-1.41,,10.9,,1.828758450106848
133,0.348,9.136509,,,,,8.634989161983942,,2.0774913970553954
134,0.176,41.03097,90.59,,0.49,,-0.44,,1.4119056806782615
135,0.175,43.85759,90.75,,0.36,,-0.21,,1.5211581242261933
136,0.176,29.26626,91.21,,-0.3,,1.35,,1.5965221327770127
137,0.177,23.93876,91.78,,-0.17,,1.01,,1.4824202565522382
138,0.179,42.79343,93.14,,-0.49,,1.15,,1.9294017436825803
1380,0.178,7.91526,85.62,,-0.19,,12.01,,2.498721826952246
1381,0.177,8.484116,85.92,,-0.26,,11.69,,2.467564134592585
1382,0.143,48.52072,90.26,,-1.09,,9.34,,1.505416641348081
1383,0.345,10.47903,94.23,,-0.45,,8.57,,3.2891749038001077
1384,0.27400142340949546,8.997786,92.09,,-0.89,,10.11,,2.0959545066361494
1385,0.342,35.52869,93.81,,-0.4,,2.8,,1.763631358038297
1386,0.154,27.26404,92.11,,-0.41,,2.75,,1.956052140209925
1387,0.17,62.50909,93.56,,-0.69,,1.76,,1.3705265637578794
1388,0.351,9.110947,95.51,,-1.0,,4.95,,1.7969089979264843
1389,0.288,55.94446,90.29,,-0.94,,7.41,,1.287560904649915
139,0.168,54.70252,92.53,,-0.52,,2.39,,1.6037717394762103
1390,0.194,15.3301,91.7,,0.17,,6.76,,1.7818189561132105
1391,0.167,57.47393,92.01,,-1.88,,6.14,,1.432188351433181
1392,0.285,9.578151,89.98,,1.31,,21.72,,1.911829528706949
1393,0.175,52.58083,89.87,,1.4,,1.8,,1.2794886514436146
1394,0.178,52.00333,90.33,,1.41,,1.26,,1.2858316581391134
1395,0.18,7.55596,93.04,,-0.49,,6.32,,2.5513276600578596
1396,0.168,49.57798,95.55,,-0.17,,0.49,,1.496352969337055
1397,0.151,7.881595,87.9,,-1.29,,10.79,,2.162016580592456
1398,0.168,8.713266,91.99,,-0.64,,3.71,,2.290681264422024
1399,0.182,37.36086,92.76,,-0.11,,2.16,,1.7161681317018618
140,0.261,3.889833,92.33,,-1.2,,7.49,,3.0355741952610846
1400,0.337,11.5169,93.09,,-0.96,,7.65,,1.7787336645975313
1401,0.328,10.85628,92.42,,-0.85,,6.65,,1.934529038032081
