catalog,localpath,roughness,thickness,g60,LAB_L_dmin,LAB_A_dmin,LAB_B_dmin,LAB_L_dmax,LAB_A_dmax,LAB_B_dmax
1008l,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1008l_kv_0.tif,0.0240496046515069,,3.384799,94.46,-0.44,8.89,39.15,-0.06,4.85
1008m,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1008m_kv_1.tif,0.06746421548357,,5.155631,92.5,0.22,17.9,26.83,0.21,4.1
1008n,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1008n_kv_0.tif,0.0882601430889829,,5.853319,90.78,0.79,19.06,26.51,0.56,4.59
1008o,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1008o_kv_1.tif,0.1149274057261227,,11.21782,91.98,-0.8,18.93,18.61,0.42,4.0
1008p,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1008p_kv_0.tif,0.1245716959657758,,6.86848,93.97,-0.39,7.98,28.88,0.16,3.85
1008q,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1008q_kp_0.tif,0.0620566862033844,,1.753154,92.29,-1.15,7.75,35.52,0.19,4.32
1008r,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1008r_ka_0.tif,0.0236399525275066,,39.86265,93.24,-0.19,2.98,23.49,-0.37,2.78
1008s,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1008s_ka_2.tif,0.0639850401478654,,5.972798,92.67,0.03,17.16,28.47,0.25,6.11
1008t,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1008t_kv_0.tif,0.0262887212621062,,12.93156,92.89,-0.32,3.59,30.42,0.62,2.48
1008u,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1008u_kv_0.tif,0.0222212543793044,,52.9398,91.51,0.36,1.4,16.31,0.57,2.17
1008v,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1008v_kv_1.tif,0.0280585847123081,,1.868936,91.07,0.05,21.48,35.19,0.18,6.31
1009,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/1009_kk_2.tif,0.0189318666122318,0.179,26.24011,89.92,0.45,0.67,,,
1010,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/1010_kk_0.tif,0.0421663829957253,0.339,5.587227,94.23,-1.12,7.74,,,
1011,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/1011_ka_0.tif,0.0155447474605459,0.163,7.882285,92.42,-0.46,7.14,,,
1012,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder2_jd/1012_ka_2.tif,0.0141561387661366,0.174,32.87514,91.82,-0.33,4.64,,,
1013,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/1013_kk_2.tif,0.042871527032785,0.337,5.406281,94.39,-1.18,7.77,,,
1014,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/1014_kk_2.tif,0.0568259219583841,0.317,9.489732,94.07,-1.13,8.56,,,
1015,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/1015_ka_2.tif,0.0158090877276972,0.162,8.957758,92.44,-0.4,7.1,,,
1016,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/1016_kk_2.tif,0.041480638212846,0.354,9.771767,94.49,-1.06,7.84,,,
1017,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/1017_kk_0.tif,0.0569644802689714,0.313,10.09981,94.0,-1.13,8.48,,,
1018,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder7_jd/1018_cs_1.tif,0.2069794165966515,0.344,4.010266,92.86,1.48,-3.16,,,
1019,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder2_jd/1019_kk_2.tif,0.0201544385232457,0.277,50.18142,90.77,0.87,5.28,,,
102,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder2_jd/102_ki_0.tif,0.0173890501283414,0.184,58.53059,93.8,-0.07,1.62,,,
1020,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder2_jd/1020_kk_0.tif,0.0218537073693774,0.314,40.26357,91.08,-0.73,7.67,,,
1021,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1021_ka_0.tif,0.0427526400380564,0.17,5.426616,87.76,-0.89,11.88,,,
1023a,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1023a_dv_0.tif,0.0339065872202577,0.172,,77.85,-1.22,12.96,29.83,0.15,1.34
1023b,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1023b_dv_2.tif,0.0323938160103682,0.33,,85.61,-1.03,7.27,27.58,0.84,7.22
1023c,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1023c_dv_1.tif,0.0319234517051165,0.334,,83.85,-0.84,7.68,36.01,0.65,3.03
1023d,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1023d_dv_2.tif,0.0679801765529535,0.403,,79.53,-1.02,14.12,33.22,0.95,1.5
1023e,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1023e_dv_0.tif,0.0519461754485339,0.137,,82.49,-1.03,9.51,27.7,-0.02,-2.17
1023f,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1023f_dv_0.tif,0.0828905174061244,0.373,,83.34,-0.9,14.33,32.31,1.73,7.32
1023g,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1023g_dv_0.tif,0.0972014611888094,0.382,,83.9,-1.27,14.0,36.98,0.24,-0.02
1023h,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1023h_dv_2.tif,0.0565522990495449,0.364,,86.59,-0.74,10.68,31.06,0.63,1.87
