catalog,localpath,roughness,thickness,g60,LAB_L_dmin,LAB_A_dmin,LAB_B_dmin,LAB_L_dmax,LAB_A_dmax,LAB_B_dmax
4178,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder2_jd/4178_dv_1.tif,0.017773515898664,0.179,56.42422500000001,93.13,-0.91,3.99,,,
4179,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder2_jd/4179_ab_0.tif,0.0146567317867325,0.184,65.68642,93.73,-0.42,2.55,,,
4180,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder2_jd/4180_dv_1.tif,0.019251535395624,0.175,61.99006,93.13,-0.25,2.54,,,
4181,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder2_jd/4181_dv_0.tif,0.1214631297707746,0.349,9.674416,91.96,-1.08,11.35,,,
4182,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder2_jd/4182_ab_2.tif,0.1090771574204342,0.342,8.663295,92.36,-0.95,8.92,,,
4183,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder2_jd/4183_dv_1.tif,0.0489093413771932,0.326,12.42863,93.0,-1.22,5.73,,,
4185,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder2_jd/4185_dv_0.tif,0.0852059319335026,0.342,9.369282,91.23,-1.16,11.74,,,
4186,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder2_jd/4186_dv_0.tif,0.0195125558159213,0.348,56.53451,94.37,-0.14,3.05,,,
4187,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder2_jd/4187_dv_2.tif,0.052133418358008,0.348,7.187935,93.38,-0.97,8.09,,,
4188,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder4_jd/4188_dv_0.tif,0.055841752104654,0.327,8.502172,93.57,-0.95,12.4,,,
4189,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder4_jd/4189_ib_2.tif,0.0680324687818361,0.174,2.956184,94.34,-0.78,4.47,,,
4190,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder4_jd/4190_kc_1.tif,0.0259285258456323,0.182,3.431292,93.18,-0.8,3.2,,,
4191,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder5_jd/4191_kd_0.tif,0.0274059891976553,0.309,24.08705,95.33,-1.12,6.65,,,
4192,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/4192_kd_1.tif,0.0164274990075986,0.312,66.05243,94.08,-0.31,2.39,,,
4193,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder5_jd/4193_ag_2.tif,0.0172690824113758,0.209,,94.33,0.26,3.07,,,
4194,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder4_jd/4194_hh_2.tif,0.0238909756645986,0.16,51.52464,90.7,0.11,3.69,,,
4195,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder2_jd/4195_ac_2.tif,0.0644666464195805,0.305,15.00636,91.28,-1.68,12.26,,,
4196,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder2_jd/4196_aa_2.tif,0.0212366924759498,0.194,7.227902,93.24,-0.84,4.53,,,
4197,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder5_jd/4197_ip_1.tif,0.0161397618044175,0.171,80.86058,93.98,-1.23,4.6,,,
4198,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/4198_kv_2.tif,0.0166187091660233,0.177,49.6715,91.75,-0.27,1.36,,,
4199,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder7_jd/4199_ob_0.tif,0.0151027571391612,0.293,66.56853,94.63,-0.04,0.55,,,
42,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder5_jd/42_pv_2.tif,0.0179519376500624,0.267,61.37874,94.35,0.16,7.04,,,
4200,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder7_jd/4200_ob_0.tif,0.0160863752690097,0.187,62.92181,94.92,0.2,-1.19,,,
4201,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder4_jd/4201_da_2.tif,0.0288902999487333,0.177,7.717315,89.98,-0.98,3.2,,,
4202,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder5_jd/4202_as_0.tif,0.0930769115968033,0.16,15.33504,84.98,-0.46,11.06,,,
4203,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder5_jd/4203_ar_1.tif,0.0241693099587329,0.179,47.30643,95.63,0.79,3.33,,,
4204,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder6_jd/4204_ab_1.tif,0.0207719198093165,0.174,51.5279,95.84,1.05,-0.91,,,
4205,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder6_jd/4205_ab_2.tif,0.0201099376517152,0.167,55.75985,96.2,0.87,-1.28,,,
4206,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder6_jd/4206_ab_2.tif,0.0224745742036015,0.17,54.12413,96.26,0.92,-1.24,,,
4207,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder6_jd/4207_ab_2.tif,0.0234491079851031,0.169,51.53581,96.23,1.25,-2.04,,,
4208,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder5_jd/4208_ee_0.tif,0.0475834366278551,0.316,15.63422,92.02,0.49,8.75,,,
4209,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder5_jd/4209_fe_0.tif,0.0134566546418452,0.18,60.16569,94.39,-0.4,0.83,,,
4210,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder7_jd/4210_im_1.tif,0.0072294111338628,0.24,99.15513,94.29,1.81,-3.71,,,
4211,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/4211_kc_0.tif,0.0218990922609156,0.194,4.552642,92.91,-0.7,3.96,,,
4214,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder4_jd/4214_ib_2.tif,0.049523640344494,0.184,3.110573,93.0,-0.21,3.02,,,
4215,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder4_jd/4215_ib_0.tif,0.0766119836444788,0.177,2.917528,93.48,-1.08,5.47,,,
4216,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder4_jd/4216_ib_1.tif,0.074368436447058,0.183,2.963124,93.28,-0.16,2.46,,,
4217,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder4_jd/4217_ib_0.tif,0.0833243618054742,0.181,2.904824,93.1,-0.18,2.31,,,
4218,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder5_jd/4218_ib_0.tif,0.0725486580314463,0.184,3.223007,94.2,-0.07,5.06,,,
4219,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder4_jd/4219_kc_0.tif,0.0196214068442837,0.178,3.246875,93.09,-0.65,3.27,,,
4220,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder4_jd/4220_kc_1.tif,0.0207431046669215,0.182,3.363096,93.44,-0.71,2.63,,,
4221,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder4_jd/4221_ib_2.tif,0.0570098118457642,0.178,2.966137,93.41,-1.09,6.72,,,
4222,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder5_jd/4222_ib_0.tif,0.071426773045089,0.192,3.358691,94.68,-0.09,4.44,,,
4223,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder4_jd/4223_ib_1.tif,0.0776674362318137,0.18,3.050832,92.73,-0.44,4.09,,,
4224,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder4_jd/4224_kr_0.tif,0.0134650865541402,0.161,46.56449,94.3,-0.91,4.48,,,
4225,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder7_jd/4225_ii_1.tif,0.2426695714910513,0.215,94.28471,4.03,2.47,2.52,,,
4226,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder7_jd/4226_ii_1.tif,0.063245320839095,0.208,94.82462,3.95,2.73,2.39,,,
4227,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder4_jd/4227_dw_2.tif,0.0396281529828366,0.363,9.204255,90.81,0.26,17.52,,,
4228,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder4_jd/4228_dv_2.tif,0.0279730001873907,0.167,42.9546,90.72,-0.95,4.08,,,
4230,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder2_jd/4230_dv_1.tif,0.0173812480861794,0.176,65.715,90.51,-0.63,4.83,,,
4231,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder7_jd/4231_ii_2.tif,0.026046329277289,0.2395,25.719845,91.16,1.75,3.08,,,
4232,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder7_jd/4232_kk_0.tif,0.0100930090447961,0.23,53.62787,87.85,-1.06,12.2,,,
4233,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder7_jd/4233_kp_1.tif,0.0070578606887586,0.23,93.98898,94.62,-1.34,3.02,,,
4234,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder7_jd/4234_kp_1.tif,0.0336733949511056,0.219,38.03706,92.75,0.18,-0.68,,,
4235,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder4_jd/4235_kc_2.tif,0.0282677969041466,0.173,9.723715,93.6,-0.94,2.06,,,
4237,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder4_jd/4237_kc_0.tif,0.0264610824234109,0.181,3.130178,92.19,-1.08,5.06,,,
4238,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/4238_kk_2.tif,0.0203382708655601,0.166,4.342923,92.58,-1.1,5.72,,,
4239,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/4239_kk_2.tif,0.0164491888676467,0.157,4.632679,94.24,-0.74,6.96,,,
4240,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder5_jd/4240_dv_0.tif,0.0178704601426049,0.283,59.77264,93.72,-0.84,2.07,,,
4241,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder5_jd/4241_ab_1.tif,0.0157662526819203,0.27,67.34557,94.69,0.68,0.0,,,
4243,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/4243_ab_1.tif,0.0138363698434174,0.279,71.76891,95.57,0.89,-0.33,,,
4244,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/4244_ab_0.tif,0.0146781658516441,0.278,71.66392,95.5,0.71,0.37,,,
4245,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder5_jd/4245_dv_0.tif,0.0392925198581311,0.3,7.562169,94.91,-0.18,4.56,,,
4246,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/4246_dv_0.tif,0.0456657109816038,0.344,7.352781,93.28,-0.93,8.03,,,
4247,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder5_jd/4247_ib_0.tif,0.0680525680662243,0.186,3.165316,94.02,-0.06,5.26,,,
4248,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder5_jd/4248_ib_2.tif,0.0722009552928837,0.186,3.225666,93.99,-0.19,5.77,,,
4249,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder4_jd/4249_kc_0.tif,0.0210288293148006,0.182,3.446884,93.46,-0.71,2.85,,,
4252,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/4252_ib_0.tif,0.070951918193238,0.195,3.286759,94.51,-0.02,5.37,,,
4254,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder6_jd/4254_kk_2.tif,0.0179039908361076,0.169,44.96108,93.73,-0.9,2.37,,,
4255,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder6_jd/4255_kk_0.tif,0.0223320144328547,0.189,3.261507,93.86,-0.69,5.23,,,
4256,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder4_jd/4256_ib_2.tif,0.0631235426249454,0.176,2.84573,92.86,-1.17,7.65,,,
4257,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder6_jd/4257_kp_2.tif,0.0192571453684502,0.174,51.96454,94.06,-0.68,2.79,,,
4258,,,0.256,56.29181,94.1,-1.22,4.72,,,
4259,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder7_jd/4259_kk_2.tif,0.0064484708266466,0.251,92.94867,95.28,-1.52,3.24,,,
4260,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder7_jd/4260_kk_2.tif,0.0069551739358613,0.251,40.07014,94.79,-1.56,4.81,,,
4261,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder7_jd/4261_kk_1.tif,0.0071774803489626,0.239,41.36477,95.04,-1.48,4.52,,,
4262,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder6_jd/4262_km_0.tif,0.0161174769639656,0.168,55.04009,94.08,-0.8,3.11,,,
4263,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder6_jd/4263_km_2.tif,0.0160783769906818,0.17,57.25568,94.17,-0.75,2.94,,,
4264,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder6_jd/4264_kp_0.tif,0.0192242495497765,0.175,56.43761,93.89,-0.67,3.08,,,
4265,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder6_jd/4265_kp_1.tif,0.0170611237121302,0.173,54.90139,93.94,-0.7,2.92,,,
4266,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder6_jd/4266_kp_2.tif,0.0177815187475191,0.161,55.44238,93.74,-0.56,2.85,,,
4267,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder6_jd/4267_kp_2.tif,0.0191510232678302,0.174,57.49909,93.82,-0.67,3.23,,,
4268,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder6_jd/4268_kp_1.tif,0.0190189951175833,0.161,53.725,93.87,-0.84,2.96,,,
4269,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/4269_ac_1.tif,0.0287310241585076,0.184,41.84637,93.3,-0.91,3.92,,,
4270,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/4270_gr_2.tif,0.0171451439709359,0.167,46.58213,89.08,-0.78,5.96,,,
4271,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder4_jd/4271_ib_2.tif,0.017393065199764,0.169,55.13023,91.49,0.56,3.78,,,
4272,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder6_jd/4272_ke_1.tif,0.0263623647905142,0.152,35.05061,93.67,-0.43,6.18,,,
4273,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder2_jd/4273_ka_1.tif,0.0207685845441612,0.17,45.71843,92.61,-0.83,4.37,,,
4274,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder2_jd/4274_ab_0.tif,0.0136413597967881,0.181,69.51794,94.31,-0.53,2.4,,,
4275,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/4275_kk_1.tif,0.0341193052180356,0.344,14.67502,92.53,-0.4,5.4,,,
4276,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder4_jd/4276_dw_1.tif,0.0429990746818275,0.333,7.961965,90.27,-0.58,13.66,,,
4277,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder4_jd/4277_da_2.tif,0.0294633542239719,0.166,36.30552,,,,,,
4278,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder4_jd/4278_da_2.tif,0.0247320445335059,0.161,41.74956,,,,,,
4279,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/4279_dv_2.tif,0.0221346317031659,0.179,58.45471,93.12,-0.35,3.32,,,
4280,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/4280_da_0.tif,0.0303015906820305,0.136,59.15384,82.28,-1.51,13.71,,,
4281,,,0.269,52.69904,91.03,-1.03,9.03,,,
4282,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/4282_da_1.tif,0.031417405154457,0.136,28.36069,85.23,-1.17,7.82,,,
4284,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder5_jd/4284_ab_1.tif,0.014462400407506,0.175,62.92211,95.91,1.19,-1.44,,,
4285,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder5_jd/4285_ab_2.tif,0.0149735590056042,0.177,60.04859,95.1,0.58,-0.68,,,
4286,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder5_jd/4286_ab_1.tif,0.0153444341080176,0.171,60.51251,95.1,0.69,-0.89,,,
4287,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder5_jd/4287_ab_1.tif,0.0150954964103417,0.176,60.46051,95.18,0.8,-1.13,,,
4288,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder5_jd/4288_ab_0.tif,0.0176353336976845,0.179,60.55729,95.43,0.7,-0.67,,,
4290,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/4290_kv_0.tif,0.019601418054258,0.172,63.62652,89.86,-0.05,2.91,,,
4291,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/4291_kv_2.tif,0.0253415625459216,0.175,49.50881,91.6,-0.27,2.34,,,
4292,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/4292_kv_0.tif,0.0226280852344191,0.158,56.16596,91.33,-0.23,1.96,,,
4293,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/4293_kv_1.tif,0.0182206818907044,0.175,60.42425,89.41,0.0,4.15,,,
4294,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/4294_kv_1.tif,0.0183463839436327,0.171,55.81424,90.03,-0.04,2.82,,,
4295,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/4295_kk_2.tif,0.046522997556926,0.336,9.607879,92.41,-0.18,11.97,,,
4296,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder5_jd/4296_kv_2.tif,0.0164149677750354,0.163,50.7771,88.25,0.7,1.82,,,
4297,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder5_jd/4297_kv_0.tif,0.0246327902281598,0.176,41.02713,88.74,0.65,0.2,,,
4298,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder4_jd/4298_dv_0.tif,0.030073476876846,0.173,38.98709,,,,,,
4299,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder2_jd/4299_gg_2.tif,0.0647294972458709,0.285,10.13872,88.6,0.2,21.66,,,
4300,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder2_jd/4300_gp_2.tif,0.0382901402615838,0.319,2.886418,91.1,0.9,17.66,,,
4301,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder2_jd/4301_gp_1.tif,0.039358833968446,0.348,2.782849,89.88,1.5,19.71,,,
4302,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder7_jd/4302_kp_1.tif,0.006435218811094,0.243,93.28194,96.29,-0.11,-0.11,,,
4303,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder7_jd/4303_kp_1.tif,0.0072923255105195,0.242,38.11951,96.2,-0.3,0.35,,,
4304,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder7_jd/4304_kp_1.tif,0.006524281358423,0.242,97.68596,95.78,-0.2,0.8,,,
4305,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder7_jd/4305_kp_1.tif,0.0341343802276628,0.221,36.13036,92.71,0.23,-0.49,,,
4306,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder7_jd/4306_ks_2.tif,0.0069775523431062,0.225,93.72957,93.04,-0.1,0.35,,,
4307,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder5_jd/4307_lb_0.tif,0.0162259023493897,0.161,62.11337,96.03,-0.82,3.7,,,
4308,,,0.232,35.17798,94.16,2.09,-2.54,,,
4780,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/4780_dv_1.tif,0.0457249817390907,0.348,7.475142,93.82,-0.72,7.14,,,
4781a,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.4_jd/4781a_ac_0.tif,0.0157458558176264,0.184,89.82888,92.21,-0.71,2.27,16.46,0.31,-1.24
4781b,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.4_jd/4781b_ac_0.tif,0.0248370081774206,0.301,13.37016,92.67,-0.97,5.73,17.85,0.69,-0.4
4781c,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.4_jd/4781c_ac_2.tif,0.0534622873305945,0.314,7.669432,93.45,-0.65,11.54,20.81,0.02,3.54
4781d,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.4_jd/4781d_ac_0.tif,0.1457375603213445,0.298,13.93126,92.82,-0.34,7.9,16.56,0.1,3.38
4781e,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.4_jd/4781e_ab_1.tif,0.0110778286451116,0.183,93.83838,90.86,-1.29,5.5,11.88,0.77,3.19
4781f,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.4_jd/4781f_ab_0.tif,0.0278244171492799,,9.1840915,93.33,-0.99,5.37,23.32,0.27,0.52
4781g,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.4_jd/4781g_ab_0.tif,0.0549713435134057,0.31,11.98648,93.22,-1.04,12.19,18.57,0.26,1.75
4781h,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.4_jd/4781h_ac_2.tif,0.0108065653795237,0.31,94.37189,92.38,-1.39,4.91,19.62,0.44,4.29
4781i,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.4_jd/4781i_ac_1.tif,0.0260794412256907,0.299,57.73022,93.14,-0.7,4.92,13.09,0.31,1.53
4781j,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.4_jd/4781j_ac_0.tif,0.0376442685785144,0.364,9.139282,94.11,-1.16,8.59,17.16,0.55,1.86
4781k,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.4_jd/4781k_ac_0.tif,0.1315265908700563,0.301,14.44579,90.75,-0.44,11.01,12.03,0.53,3.8
4781l,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.4_jd/4781l_ai_2.tif,0.0232180304572908,0.295,13.45134,92.41,-0.5,4.99,21.77,0.68,6.05
4781m,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.4_jd/4781m_ai_0.tif,0.0414659439476759,0.352,8.241521,94.63,-0.85,9.15,21.63,0.25,4.09
4781n,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.4_jd/4781n_ai_1.tif,0.0600704014776325,0.376,9.235386,94.06,-1.01,7.77,16.75,0.23,1.68
4781o,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.4_jd/4781o_ai_2.tif,0.1413285573429072,0.302,14.05504,93.63,-0.42,8.1,16.49,0.38,5.12
4781p,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.4_jd/4781p_ai_2.tif,0.0691309397691235,0.312,10.78254,93.38,-0.63,11.29,17.3,0.11,6.01
4781q,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.4_jd/4781q_ap_0.tif,0.0857916775341192,0.255,2.982813,92.57,-0.91,10.47,29.87,0.39,2.68
4781r,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.4_jd/4781r_ai_2.tif,0.0334262686156374,0.355,6.709471,94.9,-0.68,8.63,20.82,4.14,4.89
4781s,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.4_jd/4781s_ac_1.tif,0.0371789683988291,0.355,8.685522,93.97,-0.46,9.94,25.7,6.04,12.25
4782a,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.2_jd/4782a_ns_1.tif,0.0344274995977379,0.314,1.934805,88.61,-0.31,14.34,30.72,0.44,-1.88
4782b,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.2_jd/4782b_ns_1.tif,0.0299982532494493,0.298,2.93795,91.12,1.77,12.51,38.2,0.13,-2.85
4782c,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.2_jd/4782c_ns_2.tif,0.0850425957562151,0.278,2.544912,91.74,-0.26,10.43,29.59,0.46,1.22
4782d,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.2_jd/4782d_ns_0.tif,0.077306917340365,0.274,2.027924,89.6,1.77,16.36,32.0,0.64,0.03
4782e,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.2_jd/4782e_ns_2.tif,0.0885123320423389,0.329,5.05676,89.18,-1.47,11.35,24.68,0.27,1.76
4782f,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.2_jd/4782f_ns_2.tif,0.0649937593299712,0.326,8.223992,91.37,-1.78,6.72,26.1,0.13,1.88
4782g,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.2_jd/4782g_ns_0.tif,0.0493045030977665,0.311,15.40281,88.21,0.3,17.83,16.8,0.42,4.35
4782h,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.2_jd/4782h_ns_1.tif,0.0668872645919565,0.328,2.014542,92.38,-1.46,9.3,32.46,0.38,-0.92
