,localpath,roughness
15766,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647c_ii_2.tif,0.0267104556279108
15767,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647d_ii_0.tif,0.0587510644585084
15768,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647d_ii_1.tif,0.0623543089833897
15769,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647d_ii_2.tif,0.0595897661950563
15770,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647e_ig_0.tif,0.0176943310523056
15771,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647e_ig_1.tif,0.0177942595863119
15772,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647e_ig_2.tif,0.0177487520380884
15773,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647f_ig_0.tif,0.0181176923212917
15774,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647f_ig_1.tif,0.0187041757363221
15775,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647f_ig_2.tif,0.0184941758910955
15776,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647g_im_0.tif,0.0165302013463658
15777,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647g_im_1.tif,0.015791448724277
15778,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647g_im_2.tif,0.0163370390779725
15779,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647h_im_0.tif,0.0173530351236722
15780,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647h_im_1.tif,0.0164378047266824
15781,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647h_im_2.tif,0.017401536726939
15782,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647i_im_0.tif,0.0645481077452416
15783,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647i_im_1.tif,0.0660028836237456
15784,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647i_im_2.tif,0.0672902994507603
15785,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647j_ii_0.tif,0.0071324782771683
15786,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647j_ii_1.tif,0.0066695979566382
15787,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647j_ii_2.tif,0.0069345439441556
15788,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647k_ii_0.tif,0.0253305043314301
15789,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647k_ii_1.tif,0.0254758555842891
15790,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647k_ii_2.tif,0.0255475778308346
15791,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647l_ii_0.tif,0.007428511987249
15792,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647l_ii_1.tif,0.0065364552679221
15793,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647l_ii_2.tif,0.0070514728692775
15794,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647m_im_0.tif,0.0074867212426065
15795,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647m_im_1.tif,0.0073761348940509
15796,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647m_im_2.tif,0.0080832909415844
15797,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647n_im_0.tif,0.0074607979058373
15798,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647n_im_1.tif,0.0078144247063652
15799,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647n_im_2.tif,0.0077943283618518
15800,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647o_im_0.tif,0.0245934123875902
15801,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647o_im_1.tif,0.0253216881611439
15802,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647o_im_2.tif,0.024359593859305
15803,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/289c_am_0.tif,0.0746897933388057
15804,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/289c_am_1.tif,0.0731315172631432
15805,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/289c_am_2.tif,0.0763791298611283
15806,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/289d_ab_0.tif,0.0061787381744661
15807,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/289d_ab_1.tif,0.0066277274396493
15808,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/289d_ab_2.tif,0.0069776093228785
15809,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/289e_ab_0.tif,0.0282725195635359
15810,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/289e_ab_1.tif,0.0275941470025489
15811,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/289e_ab_2.tif,0.0251768885136136
15812,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/289f_ai_0.tif,0.0261950503225571
15813,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/289f_ai_1.tif,0.0284372506695222
15814,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/289f_ai_2.tif,0.0277864136990577
15815,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290a_kp_0.tif,0.006138778562961
15816,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290a_kp_1.tif,0.0060070622667007
15817,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290a_kp_2.tif,0.0060570008827948
15818,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290b_kp_0.tif,0.024459682725529
15819,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290b_kp_1.tif,0.0231043821629335
15820,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290b_kp_2.tif,0.0234373229717817
