catalog,roughness,thickness,g60,LAB_L_dmin,LAB_A_dmin,LAB_B_dmin,LAB_L_dmax,LAB_A_dmax,LAB_B_dmax
3213i,7.77093532970046,,9.569244,87.59,-0.08,12.47,25.09,0.61,2.29
3213ii,21.863566672471293,,6.02543,85.41,0.31,19.45,29.67,0.77,7.35
3213j,19.3267043452924,,7.52867,82.6,0.94,25.88,31.32,-0.15,3.64
3213jj,14.10453167311634,,6.517244,86.75,0.03,14.44,35.46,1.25,9.44
3213k,7.871842137975188,,11.05706,88.4,-0.59,13.23,28.26,-0.13,3.39
3213kk,12.538817564429005,,17.05504,87.1,0.09,15.75,23.04,3.21,10.22
3213l,6.372957552227246,,34.88399,86.04,-0.54,10.26,18.31,0.43,4.55
3213ll,13.30083060861497,,8.798973,85.07,0.82,18.47,32.4,4.66,13.95
3213m,9.069981886382482,,3.608735,90.97,-0.25,9.93,31.81,0.11,1.67
3213mm,26.673705617706503,,4.627739,87.08,0.34,19.75,29.03,1.14,5.41
3213n,21.655542167786912,,6.881993,81.97,0.02,16.8,25.44,0.46,2.82
3213nn,23.83855259664145,,13.65551,83.78,0.26,15.27,33.68,5.39,17.01
3213o,10.35171866853942,,11.15747,89.11,-0.1,13.86,17.1,0.34,1.44
3213oo,27.04689145812183,,6.603448,87.98,-0.21,14.1,27.85,0.36,0.8
3213p,16.440859357574222,,2.111602,82.35,0.32,15.22,31.92,0.23,1.93
3213pp,32.795940307177,,2.833338,86.27,-1.79,18.04,33.88,-0.24,3.39
3213q,14.524153955104069,,16.06564,89.79,-0.09,12.05,29.93,0.22,6.2
3213qq,4.476086661072849,,2.487908,88.9,-1.08,9.6,31.3,4.98,8.73
3213r,27.85964739881113,,4.918538,87.99,-0.04,17.18,27.68,0.22,2.87
3213s,3.770768285533068,,87.13833,88.34,0.43,4.5,24.84,0.31,3.14
3213t,3.926096015801841,,86.16203,86.07,0.18,4.53,17.37,0.29,2.21
3213u,19.074091527422787,,16.77395,88.34,0.06,10.83,12.77,0.41,2.51
3213v,17.697825240151072,,7.386575,86.38,0.64,18.79,29.83,0.71,3.4
3213w,15.439738045929056,,7.306937,87.94,0.12,17.32,31.33,0.13,3.86
3213x,7.275502869096518,,13.21354,88.7,-0.2,11.71,23.74,0.45,3.53
3213y,7.15450257739867,,32.10412,88.22,0.07,14.0,20.98,0.22,2.31
3213z,10.788835785897591,,23.53548,87.05,-0.1,16.75,22.3,0.06,2.54
3214a,5.117969714793451,,34.48568,89.77,-1.08,12.78,16.72,0.05,-0.21
3214b,7.4574132424282915,,12.5306,87.43,-1.03,11.82,24.65,0.5,2.14
3214c,9.865698719991643,,7.980538,84.68,0.95,11.09,25.18,0.28,2.34
3214d,7.729025531480706,,24.93183,88.32,-0.18,12.61,19.58,0.44,1.92
3214e,10.973816524955929,,19.34092,85.68,0.58,17.14,19.9,0.33,4.8
3214f,24.540237553436988,,1.474028,81.92,1.51,17.78,30.4,0.38,3.17
3214g,10.788653651679954,,6.556402,88.48,-0.21,16.35,24.29,0.28,2.33
3214h,4.127951368434165,,88.74738,86.84,0.17,6.17,16.96,0.32,2.72
3214i,28.72615861370535,,9.973689,86.99,0.29,13.44,23.35,0.1,2.9
3214j,8.04400600765352,,10.00595,92.07,-0.4,13.05,27.93,5.21,8.76
3214k,3.5046149468370267,,93.32526,90.36,-0.19,4.78,16.56,0.29,1.96
3214l,30.662221387052508,,10.51775,92.89,-0.76,9.82,14.03,0.2,2.49
3214m,9.532884151311722,,7.176974,85.5,0.4,10.98,23.79,0.41,1.47
3214n,6.530757375165889,,26.22223,87.2,-0.32,12.39,21.75,0.31,5.58
3214o,12.706566222100983,,5.456112,91.41,-0.59,10.09,29.73,0.27,4.53
3214p,11.4909551994972,,10.76512,90.49,-0.94,9.5,24.91,-0.12,3.82
3214q,3.2057995200765346,,93.55978,90.41,-0.27,2.89,15.66,0.39,2.76
3214r,2.796943947790304,,93.87896,91.94,-0.75,6.8,16.86,0.23,2.05
3214s,23.69411028381161,,11.0712,87.56,0.17,11.45,21.9,0.58,2.96
3214t,8.80480324556154,,8.539869,88.82,0.05,14.76,23.36,0.53,5.92
3214u,18.149173068384624,,5.775925,87.13,-0.17,20.52,25.3,0.49,3.33
3214v,29.69217608821083,,9.897809,86.34,0.32,14.31,24.03,0.19,2.9
3214w,14.568001486459858,,5.151962,91.96,-0.42,11.66,22.43,0.59,2.25
3215a,6.107160234960678,0.277,11.12984,89.5,0.16,9.81,26.57,-0.04,-3.1
3215b,7.7664828470795,0.272,7.556266,88.79,-0.05,19.82,24.32,0.24,1.1
3215c,23.326067190221423,0.288,13.77161,87.55,1.54,17.66,15.67,0.39,3.22
3215d,16.07371328960733,0.309,15.60266,88.4,0.28,20.25,9.06,0.71,2.95
3215e,5.312358128867417,0.256,90.59296,87.76,0.65,7.7,10.83,0.71,2.21
3215f,18.99464551700497,0.276,14.91087,90.04,0.24,13.92,10.44,0.44,1.72
3215g,12.214406966240457,0.311,16.05374,91.25,-0.5,12.92,11.6,0.39,3.21
3215h,9.634139251102251,0.277,25.08183,89.47,0.11,11.34,10.58,0.57,0.4
3215i,13.575992327904965,0.269,15.40809,90.85,-0.59,11.58,9.59,0.58,2.64
3215j,9.866442046018232,0.195,25.40185,89.17,-0.02,8.36,13.96,1.4,3.52
3215k,3.027399147987609,0.158,88.04472,88.72,0.73,5.1,13.66,1.49,2.09
3215l,11.743800856935971,0.269,12.58494,89.63,1.16,18.6,12.1,0.17,1.21
3215m,10.57410167200952,0.304,10.25188,89.47,1.36,16.85,19.68,0.41,0.22
3215n,18.37856258853705,0.283,16.67312,88.37,1.71,18.83,15.55,0.72,1.44
3215o,3.0913718728710906,0.256,88.39484,88.41,0.96,5.25,9.82,0.07,2.91
3215p,12.02072046005246,0.291,12.74092,91.77,-0.07,12.09,15.16,0.4,5.93
3215q,7.8562119861433155,0.311,11.83468,91.01,0.3,11.38,19.42,0.32,1.56
3215r,21.342487450366093,0.284,18.05947,89.81,0.21,15.14,23.35,0.5,7.51
3216,15.073347124805782,0.178,2.786115,92.28,-0.88,9.03,,,
3217,4.068322591541229,0.17,70.01795,93.88,-1.23,4.58,,,
322,6.607255280575616,0.279,49.42757,88.18,-0.25,11.12,,,
325,5.807082192672016,0.167,41.76656,91.07,0.23,-0.37,,,
326,5.759482758445555,0.164,42.92509,91.08,0.23,-0.36,,,
328,5.495077376235521,0.169,44.37212,91.9,0.44,-0.24,,,
329,4.5608375412795095,0.16,62.56944,91.52,-0.04,1.01,,,
33,4.033287142245066,0.167,46.06753,92.42,-1.34,5.96,,,
330,17.764359148169408,0.322,19.89223,94.25,-1.18,7.26,,,
331,1.8457068963644865,0.25,91.4953,95.35,-0.85,1.24,,,
332,8.501831546004672,0.268,28.66324,94.86,0.94,1.46,,,
333,1.9893301946363453,0.219,34.91683,87.22,1.56,8.08,,,
334,5.119962729063439,0.165,48.36701,94.2,0.6,2.87,,,
335,4.9033088142567145,0.283,15.66218,95.29,0.69,1.09,,,
336,3.687901685142936,0.289,2.605844,94.87,0.01,6.69,,,
337,2.222200448684631,0.249,4.393795,90.43,1.5,4.44,,,
338,3.4176736073891845,0.287,52.47462,95.59,0.89,-0.26,,,
339,3.376938288927657,0.287,61.57392,95.42,0.77,-0.85,,,
34,4.796619101821559,0.299,57.53603,91.95,-1.11,5.44,,,
340,11.233198978082264,0.413,5.690165,95.13,-0.99,8.74,,,
341,4.550374056051291,0.172,18.71732,96.08,0.91,0.02,,,
342,3.0616815880798085,0.297,49.78922,95.65,0.08,-0.29,,,
343,5.551606167834538,0.16,38.18722,94.23,-1.13,4.01,,,
345,4.375444476058135,0.17,45.13604,91.05,0.07,3.43,,,
346,4.686300892049082,0.368,55.78199,95.82,0.59,-0.22,,,
347,38.98321375844698,0.219,106.2836,10.74,0.66,0.99,,,
348,8.400290340292347,0.27,32.53443,95.25,0.64,3.3,,,
351,1.82355053593984,0.251,97.60693,90.69,1.71,2.64,,,
353,11.710129701873289,0.28,3.828587,94.6,-0.49,6.61,,,
354,3.16514826582702,0.285,51.8835,95.18,0.03,-0.37,,,
355,7.984575127966596,0.367,7.434139,95.37,-0.76,8.62,,,
356,11.934081527613708,0.173,7.879417,95.41,-0.71,3.92,,,
357,5.980710313360621,0.285,12.95389,89.71,-0.32,9.39,,,
358,6.207003585261432,0.278,13.72501,89.67,-0.31,9.48,,,
359,5.444966100525391,0.276,49.67925,,,,,,
36,4.743883828473052,0.319,48.73885,92.87,-0.95,5.99,,,
360,4.435081102806765,0.174,57.64202,93.98,-0.73,3.94,,,
361,4.328586136071952,0.169,62.45665,94.21,-0.79,3.52,,,
362,6.936518807801519,0.239,21.26787,90.71,1.17,4.81,,,
363,7.5812606303351,0.355,11.2197,94.1,-0.98,5.01,,,
364,4.79606388647227,,15.50462,92.25,-0.82,4.52,,,
365,6.873623144473929,0.365,7.489389,94.84,-0.58,10.73,,,
366,8.036615783322942,0.116,35.43012,84.45,1.96,10.77,,,
368,4.778617480522854,0.173,58.61928,89.85,0.43,5.95,,,
369,,0.162,36.27197,91.53,-0.12,0.61,,,
37,11.252058044057982,0.36,3.58303,90.07,-0.69,10.39,,,
370,16.70849179172236,0.283,11.65343,92.74,1.44,5.05,,,
371,4.770171052570528,0.17,58.54618,89.98,0.14,2.51,,,
372,6.1842987983003495,,26.48812,91.86,-0.85,2.32,,,
373,4.867157259156865,0.159,36.13976,92.78,-0.7,5.54,,,
374,5.799581949205974,0.158,35.9255,92.95,-1.11,5.83,,,
375,5.459712951679235,0.159,35.22884,92.89,-0.95,5.93,,,
376,5.161366059786042,0.158,36.08908,92.92,-0.95,5.89,,,
377,1.939509773049237,0.23,94.65349,88.6,-1.27,14.78,,,
378,7.439727564447276,0.17,13.05953,93.17,-1.06,6.28,,,
379,7.103066589824945,0.173,12.6686,93.07,-1.09,6.35,,,
38,13.0383269163662,0.347,6.689676,87.55,1.03,18.67,,,
39,5.205898355758569,0.175,64.02593,91.81,-1.08,5.46,,,
390,7.517720615159469,0.37,6.711357,94.99,-0.72,9.94,,,
391,9.211795730635174,0.29,10.10865,90.13,-0.8,9.05,,,
392,4.076934712592191,0.16,,91.34,0.18,0.33,,,
393,4.775126278738374,0.166,51.48407,91.2,-0.54,1.6,,,
394,4.644804498787331,,24.60028,89.71,0.17,4.23,,,
395,5.43848989592964,,55.38463,90.86,0.24,2.07,,,
396,7.864651461755271,,8.329969,94.34,-0.69,11.06,,,
397,4.200210422116846,0.283,42.12577,96.04,0.79,1.69,,,
398,3.994523543125439,0.175,65.71535,96.38,1.35,-1.06,,,
399,22.502105393488897,0.257,5.259085,93.3,-1.86,12.28,,,
4,6.611289776236897,0.284,17.59972,92.39,0.78,2.44,,,
40,12.320542221316524,0.351,6.333434,87.9,1.08,18.77,,,
400,13.521003254228347,0.166,5.051249,93.37,-0.32,3.77,,,
401,5.866876246746328,0.179,9.549516,92.1,-0.51,6.5,,,
402,15.86394898046853,0.166,4.628928,94.3,-0.23,3.95,,,
41,3.5742377961385,0.279,65.94223,94.88,0.2,6.24,,,
4113,4.961913270790496,0.154,56.37216,87.03,-0.38,14.4,,,
4114,2.082822249390375,0.237,28.88829,93.92,-0.96,5.23,,,
4115,1.8717491975975844,0.237,68.53743,93.96,-0.67,5.42,,,
4116,1.795506284365167,0.24,90.77151,95.36,-0.3,0.96,,,
4117,1.974634273902999,0.238,51.4193,94.37,-1.0,4.51,,,
4118,15.709638750179568,0.29,10.50311,95.37,-0.45,6.21,,,
4119,1.852645588819734,0.244,81.0551,94.3,1.73,-3.94,,,
4120,1.86182592269926,0.238,45.51792,,,,,,
4121,4.05877304343824,0.301,54.53637,93.62,0.2,6.56,,,
4122,46.70613415451116,0.232,93.05895,4.93,-0.76,5.71,,,
4123,3.348018192749133,0.297,77.11135,94.34,0.1,-1.11,,,
4124,1.9251988760319907,0.244,77.23412,93.61,-0.38,5.56,,,
4125,3.578135738564057,0.281,63.8046,94.28,-0.05,6.09,,,
4126,4.276224333949543,0.292,50.06499,95.24,0.62,0.91,,,
4127,13.571996460877,0.291,22.25227,93.81,0.11,7.8,,,
4128,4.995841410730462,0.171,52.74983,96.55,1.05,-0.73,,,
4129,5.297183933754734,0.17,50.84482,96.42,1.03,-0.54,,,
4130,5.648468080021459,0.168,44.36871,96.08,0.99,0.4,,,
4131,6.056619785776904,0.173,51.32534,96.31,0.87,0.18,,,
4132,5.329647683264186,0.17,50.35435,96.3,0.69,0.41,,,
4133,4.67364925031826,0.279,55.87486,92.31,1.55,6.76,,,
4134,4.786831841020347,0.274,55.91306,92.05,1.23,8.73,,,
4135,5.30523080934546,0.276,64.28549,92.78,1.29,7.53,,,
4136,4.317678732071566,0.173,56.89752,93.53,-0.55,4.99,,,
4137,4.958271593676358,0.164,46.17738,92.01,0.37,2.07,,,
4139,4.628603983662565,0.17,53.6193,92.44,-0.21,-0.2,,,
4140,5.474799256016452,0.169,49.51248,93.35,-0.77,4.08,,,
4141,36.71478556434578,0.295,2.516915,93.56,0.74,2.02,,,
4142,57.28695503983076,0.175,9.447888,64.65,-3.06,40.86,,,
4143a,10.913225469161564,,3.159756,91.93,-1.08,6.05,28.99,0.04,1.93
4143b,9.326616305472983,,3.684294,92.91,-0.72,8.73,36.5,-0.06,3.54
4143c,7.832906150791224,,12.26989,92.19,-0.64,8.23,20.45,0.03,3.87
4143d,5.00151865399523,,52.48152,91.46,-1.07,3.22,17.56,0.37,3.08
4143e,15.340382417665143,,3.350335,91.01,-1.11,8.12,28.88,0.08,2.26
4143f,7.88467396719771,,9.384628,92.77,-0.88,5.99,19.54,0.68,1.95
4143g,5.013738436798819,,47.75375,91.24,-0.81,4.25,13.76,0.95,3.8
4143h,14.299319335937636,,6.346346,93.29,-1.29,7.6,21.15,0.24,1.27
4143i,14.750622638663584,,3.422427,89.98,-1.39,6.75,27.97,0.23,1.78
4143j,7.250343374240741,,11.06941,90.8,-0.18,18.33,14.56,0.51,1.2
4143k,5.644918676552551,,9.791904,90.37,-0.83,8.24,20.84,0.26,0.63
4143l,13.648906556008557,,5.359921,93.13,-1.21,7.43,25.01,0.1,2.44
4143m,14.903256472155302,,5.859277,89.81,0.21,16.86,22.84,0.23,0.75
4143n,15.415228309060844,,3.004045,89.69,0.49,16.65,29.65,0.12,3.23
4143o,25.26861516614057,,8.870041,90.16,-1.26,18.55,25.15,0.06,2.83
4143p,28.935064952191947,,7.279425,92.52,-0.33,8.49,24.14,0.53,3.6
4143q,11.5815664197581,,8.243973,88.64,-0.62,4.48,21.85,0.89,1.66
4143r,5.030410433031875,,49.57864,91.78,-0.49,3.53,16.39,1.13,3.24
4143s,16.218776777642837,,5.60004,88.56,-0.9,5.01,30.74,0.37,0.92
4143t,18.078002923522405,,5.782297,90.23,-0.62,16.38,37.75,-0.3,5.85
4143u,5.485132110888056,,52.94806,91.44,0.12,15.02,22.43,-0.58,7.01
4143v,10.083325809110493,,12.61107,91.94,-0.34,5.57,31.75,0.03,3.98
4143w,5.09138940821763,,58.8888,88.09,-0.81,5.9,18.73,0.01,3.05
4143x,16.66393651610838,,4.577999,92.4,-1.11,8.01,30.5,0.04,2.51
4143y,7.83244354951687,,13.83257,87.32,-0.33,5.23,25.54,0.44,3.6
4143z,17.884676081436382,,6.350501,89.46,0.66,18.59,34.53,0.3,5.94
4144,4.433781385062226,0.172,59.68782,91.32,0.03,-0.67,,,
4145,4.067743394784111,0.174,62.02952,90.69,-0.07,0.33,,,
4146,5.593658449543768,0.179,49.27309,90.54,-0.43,0.61,,,
4147,8.50844237517791,0.343,9.141193,94.65,-0.99,3.26,,,
4148,5.954382284859334,0.174,10.38725,93.39,-0.49,1.79,,,
4149,4.225774839210393,0.173,60.13434,92.98,0.53,7.31,,,
4150,4.075247370618396,0.162,56.19064,94.02,0.4,6.39,,,
4151,3.688385785841641,0.175,68.873,96.48,1.44,-1.18,,,
4152,10.906669985988897,0.232,8.130467,88.9,1.1,5.33,,,
4153,11.454624043220008,0.222,23.47272,89.42,1.73,3.22,,,
4154,2.514432812184163,0.222,92.29942,89.39,1.5,3.84,,,
4155,2.375803637217604,0.223,97.46183,88.58,1.14,5.06,,,
4156,7.230665141261622,0.231,14.44885,88.91,1.67,3.95,,,
4157,5.090674281819317,0.17,53.18453,93.78,-0.32,-0.57,,,
4158,5.650894436923607,0.162,39.08674,87.28,-0.63,9.91,,,
4159,6.671072524178772,0.167,45.67894,91.44,-0.98,8.91,,,
4160,4.280528823829696,0.182,44.547250000000005,91.25,-1.11,3.68,,,
4161,3.5770891622840284,0.157,57.28101,90.8,0.44,0.1,,,
4162,4.698168997559603,0.156,60.90884,91.69,-0.51,3.41,,,
4163,4.713164754232624,0.172,54.54521,92.3,-0.83,4.42,,,
4164,20.355648075902906,0.314,8.854043,93.08,-0.75,6.27,,,
4165,5.360867352459008,0.168,24.54498,91.08,-1.21,6.6,,,
4166,7.206248212050321,0.349,10.36193,95.58,-0.66,8.31,,,
4167,7.138283505459735,0.348,9.529035,,,,,,
4168,12.807085799652548,0.339,4.481532,91.37,0.48,23.42,,,
4169,28.37754558613677,0.331,9.135672,93.75,-0.72,6.62,,,
4170,4.91115845989765,0.298,50.30527,94.62,-0.16,3.23,,,
4171,10.61471512042731,0.339,6.498522,92.87,-1.0,8.93,,,
4172,15.245509736115851,0.353,5.594771,93.64,-0.85,6.88,,,
4173,4.739837730580358,0.323,55.26217,94.6,-0.3,3.41,,,
4174,4.36553856383186,0.181,54.95986,92.0,-1.17,4.08,,,
4175,4.883684726292571,0.171,39.80649,,,,,,
4176,5.1942554747651455,0.176,55.8108,91.28,-0.28,3.55,,,
4177,4.026675591689965,0.168,61.75349,93.03,-0.47,3.11,,,
4178,4.411734857945736,0.179,56.42422500000001,93.13,-0.91,3.99,,,
4179,3.5442251551082897,0.184,65.68642,93.73,-0.42,2.55,,,
4180,4.466137753342264,0.175,61.99006,93.13,-0.25,2.54,,,
4181,25.10578821693036,0.349,9.674416,91.96,-1.08,11.35,,,
4182,22.104010525440344,0.342,8.663295,92.36,-0.95,8.92,,,
4183,9.699630969778823,0.326,12.42863,93.0,-1.22,5.73,,,
4185,18.357544721054506,0.342,9.369282,91.23,-1.16,11.74,,,
4186,4.75098944608085,0.348,56.53451,94.37,-0.14,3.05,,,
4187,11.36622104074343,0.348,7.187935,93.38,-0.97,8.09,,,
4188,10.96603049504048,0.327,8.502172,93.57,-0.95,12.4,,,
4189,14.147361813702002,0.174,2.956184,94.34,-0.78,4.47,,,
4190,6.961371774733021,0.182,3.431292,93.18,-0.8,3.2,,,
4191,5.879090916685851,0.309,24.08705,95.33,-1.12,6.65,,,
4192,3.909244664130806,0.312,66.05243,94.08,-0.31,2.39,,,
4193,4.205781765934789,0.209,,94.33,0.26,3.07,,,
4194,5.638447451494908,0.16,51.52464,90.7,0.11,3.69,,,
4195,13.215720889397776,0.305,15.00636,91.28,-1.68,12.26,,,
4196,5.802534857312732,0.194,7.227902,93.24,-0.84,4.53,,,
4197,3.6920084329839513,0.171,80.86058,93.98,-1.23,4.6,,,
4198,4.170166820170901,0.177,49.6715,91.75,-0.27,1.36,,,
4199,3.557682090380684,0.293,66.56853,94.63,-0.04,0.55,,,
42,4.355734142724662,0.267,61.37874,94.35,0.16,7.04,,,
4200,3.621990042387088,0.187,62.92181,94.92,0.2,-1.19,,,
4201,7.039386872770828,0.177,7.717315,89.98,-0.98,3.2,,,
4202,20.062097160227403,0.16,15.33504,84.98,-0.46,11.06,,,
4203,5.55547861544841,0.179,47.30643,95.63,0.79,3.33,,,
4204,4.859392178439746,0.174,51.5279,95.84,1.05,-0.91,,,
4205,4.739248242827309,0.167,55.75985,96.2,0.87,-1.28,,,
4206,5.094472208870544,0.17,54.12413,96.26,0.92,-1.24,,,
4207,5.45425665658042,0.169,51.53581,96.23,1.25,-2.04,,,
4208,10.673980162928247,0.316,15.63422,92.02,0.49,8.75,,,
4209,3.29845917474966,0.18,60.16569,94.39,-0.4,0.83,,,
4210,1.786904629485662,0.24,99.15513,94.29,1.81,-3.71,,,
4211,6.18680899626818,0.194,4.552642,92.91,-0.7,3.96,,,
4214,11.865365114682431,0.184,3.110573,93.0,-0.21,3.02,,,
4215,15.87058881742034,0.177,2.917528,93.48,-1.08,5.47,,,
4216,15.50402144474377,0.183,2.963124,93.28,-0.16,2.46,,,
4217,16.96673431013623,0.181,2.904824,93.1,-0.18,2.31,,,
4218,15.75375233883821,0.184,3.223007,94.2,-0.07,5.06,,,
4219,5.586641085131438,0.178,3.246875,93.09,-0.65,3.27,,,
4220,5.942572434966747,0.182,3.363096,93.44,-0.71,2.63,,,
4221,12.621200670809786,0.178,2.966137,93.41,-1.09,6.72,,,
4222,16.510912458994316,0.192,3.358691,94.68,-0.09,4.44,,,
4223,16.0218190232361,0.18,3.050832,92.73,-0.44,4.09,,,
4224,3.38737362713045,0.161,46.56449,94.3,-0.91,4.48,,,
4225,68.14433436408889,0.215,94.28471,4.03,2.47,2.52,,,
4226,40.21973940410468,0.208,94.82462,3.95,2.73,2.39,,,
4227,8.587814018790334,0.363,9.204255,90.81,0.26,17.52,,,
4228,6.358266165352189,0.167,42.9546,90.72,-0.95,4.08,,,
4230,4.271375261660778,0.176,65.715,90.51,-0.63,4.83,,,
4231,6.892302524699232,0.2395,25.719845,91.16,1.75,3.08,,,
4232,3.068445352760436,0.23,53.62787,87.85,-1.06,12.2,,,
4233,1.9171979446114529,0.23,93.98898,94.62,-1.34,3.02,,,
4234,7.292067537131048,0.219,38.03706,92.75,0.18,-0.68,,,
4235,6.20061811006603,0.173,9.723715,93.6,-0.94,2.06,,,
4237,6.870749746786456,0.181,3.130178,92.19,-1.08,5.06,,,
4238,5.699325874082777,0.166,4.342923,92.58,-1.1,5.72,,,
4239,4.9930380692702805,0.157,4.632679,94.24,-0.74,6.96,,,
4240,4.326449747822701,0.283,59.77264,93.72,-0.84,2.07,,,
4241,3.445811645642835,0.27,67.34557,94.69,0.68,0.0,,,
4243,3.1678720233069795,0.279,71.76891,95.57,0.89,-0.33,,,
4244,3.392863404050812,0.278,71.66392,95.5,0.71,0.37,,,
4245,9.804987879147884,0.3,7.562169,94.91,-0.18,4.56,,,
4246,9.568053854248788,0.344,7.352781,93.28,-0.93,8.03,,,
4247,15.365713711751962,0.186,3.165316,94.02,-0.06,5.26,,,
4248,15.92786741997498,0.186,3.225666,93.99,-0.19,5.77,,,
4249,5.838978372778645,0.182,3.446884,93.46,-0.71,2.85,,,
4252,16.033218611317057,0.195,3.286759,94.51,-0.02,5.37,,,
4254,4.330700243644483,0.169,44.96108,93.73,-0.9,2.37,,,
4255,5.824926487933598,0.189,3.261507,93.86,-0.69,5.23,,,
4256,13.310459880917922,0.176,2.84573,92.86,-1.17,7.65,,,
4257,4.54631369111749,0.174,51.96454,94.06,-0.68,2.79,,,
4258,,0.256,56.29181,94.1,-1.22,4.72,,,
4259,1.7323926888112382,0.251,92.94867,95.28,-1.52,3.24,,,
4260,1.7952802627131368,0.251,40.07014,94.79,-1.56,4.81,,,
4261,1.852742877748255,0.239,41.36477,95.04,-1.48,4.52,,,
4262,3.902629282253362,0.168,55.04009,94.08,-0.8,3.11,,,
4263,3.909693697756498,0.17,57.25568,94.17,-0.75,2.94,,,
4264,4.315853419512279,0.175,56.43761,93.89,-0.67,3.08,,,
4265,3.978593924698068,0.173,54.90139,93.94,-0.7,2.92,,,
4266,4.068036449916229,0.161,55.44238,93.74,-0.56,2.85,,,
4267,4.473196095685172,0.174,57.49909,93.82,-0.67,3.23,,,
4268,4.273477121218386,0.161,53.725,93.87,-0.84,2.96,,,
4269,6.779530631800448,0.184,41.84637,93.3,-0.91,3.92,,,
4270,3.963457450478203,0.167,46.58213,89.08,-0.78,5.96,,,
4271,4.243729821827934,0.169,55.13023,91.49,0.56,3.78,,,
4272,6.4949314746407,0.152,35.05061,93.67,-0.43,6.18,,,
4273,5.129456293686537,0.17,45.71843,92.61,-0.83,4.37,,,
4274,3.346550134545631,0.181,69.51794,94.31,-0.53,2.4,,,
4275,6.507751024302645,0.344,14.67502,92.53,-0.4,5.4,,,
4276,9.736203154991696,0.333,7.961965,90.27,-0.58,13.66,,,
4277,7.132914242855577,0.166,36.30552,,,,,,
4278,5.691643641226934,0.161,41.74956,,,,,,
4279,5.116667526951205,0.179,58.45471,93.12,-0.35,3.32,,,
4280,6.52434299968256,0.136,59.15384,82.28,-1.51,13.71,,,
4281,,0.269,52.69904,91.03,-1.03,9.03,,,
4282,7.1447189838752,0.136,28.36069,85.23,-1.17,7.82,,,
4284,3.682061075908577,0.175,62.92211,95.91,1.19,-1.44,,,
4285,3.8110102445160647,0.177,60.04859,95.1,0.58,-0.68,,,
4286,3.802926230943238,0.171,60.51251,95.1,0.69,-0.89,,,
4287,3.817293254036444,0.176,60.46051,95.18,0.8,-1.13,,,
4288,4.217599675658401,0.179,60.55729,95.43,0.7,-0.67,,,
4290,4.652155494715875,0.172,63.62652,89.86,-0.05,2.91,,,
4291,6.024552124175251,0.175,49.50881,91.6,-0.27,2.34,,,
4292,5.41944787514981,0.158,56.16596,91.33,-0.23,1.96,,,
4293,4.281766150101473,0.175,60.42425,89.41,0.0,4.15,,,
4294,4.133215298763908,0.171,55.81424,90.03,-0.04,2.82,,,
4295,9.349611886814827,0.336,9.607879,92.41,-0.18,11.97,,,
4296,4.091940215890801,0.163,50.7771,88.25,0.7,1.82,,,
4297,5.779132508460261,0.176,41.02713,88.74,0.65,0.2,,,
4298,6.791584913373739,0.173,38.98709,,,,,,
4299,13.745967046764235,0.285,10.13872,88.6,0.2,21.66,,,
4300,10.168730527879466,0.319,2.886418,91.1,0.9,17.66,,,
4301,11.015108186489272,0.348,2.782849,89.88,1.5,19.71,,,
4302,1.7369923912313845,0.243,93.28194,96.29,-0.11,-0.11,,,
4303,1.7848291218198225,0.242,38.11951,96.2,-0.3,0.35,,,
4304,1.7900733526813803,0.242,97.68596,95.78,-0.2,0.8,,,
4305,7.61280834311153,0.221,36.13036,92.71,0.23,-0.49,,,
4306,1.9016315388741745,0.225,93.72957,93.04,-0.1,0.35,,,
4307,3.779843754701408,0.161,62.11337,96.03,-0.82,3.7,,,
4308,,0.232,35.17798,94.16,2.09,-2.54,,,
4780,9.868220258032856,0.348,7.475142,93.82,-0.72,7.14,,,
4781a,4.027643388744193,0.184,89.82888,92.21,-0.71,2.27,16.46,0.31,-1.24
4781b,5.634573494272384,0.301,13.37016,92.67,-0.97,5.73,17.85,0.69,-0.4
4781c,11.636218502583423,0.314,7.669432,93.45,-0.65,11.54,20.81,0.02,3.54
4781d,30.69865953991927,0.298,13.93126,92.82,-0.34,7.9,16.56,0.1,3.38
4781e,3.026038533255261,0.183,93.83838,90.86,-1.29,5.5,11.88,0.77,3.19
4781f,8.508811043282705,,9.1840915,93.33,-0.99,5.37,23.32,0.27,0.52
4781g,12.578312462373558,0.31,11.98648,93.22,-1.04,12.19,18.57,0.26,1.75
4781h,2.8760821667449927,0.31,94.37189,92.38,-1.39,4.91,19.62,0.44,4.29
4781i,5.664400786948275,0.299,57.73022,93.14,-0.7,4.92,13.09,0.31,1.53
4781j,7.987561076342105,0.364,9.139282,94.11,-1.16,8.59,17.16,0.55,1.86
4781k,26.32034949654698,0.301,14.44579,90.75,-0.44,11.01,12.03,0.53,3.8
4781l,5.21215004080406,0.295,13.45134,92.41,-0.5,4.99,21.77,0.68,6.05
4781m,9.07856180215237,0.352,8.241521,94.63,-0.85,9.15,21.63,0.25,4.09
4781n,11.780851420105542,0.376,9.235386,94.06,-1.01,7.77,16.75,0.23,1.68
4781o,29.233784297336,0.302,14.05504,93.63,-0.42,8.1,16.49,0.38,5.12
4781p,14.32731401890188,0.312,10.78254,93.38,-0.63,11.29,17.3,0.11,6.01
