catalog,roughness,thickness,g60,LAB_L_dmin,LAB_A_dmin,LAB_B_dmin,LAB_L_dmax,LAB_A_dmax,LAB_B_dmax
119,7.298693100081379,0.226,11.84727,88.69,1.89,3.41,,,
120,2.4859270516511267,0.233,94.94874,90.49,-1.22,9.34,,,
121,8.752333737697912,0.239,33.47453,90.12,-0.99,11.72,,,
122,2.052707755105261,0.245,98.14624,88.12,2.69,0.52,,,
1223,6.415731642299216,0.146,41.27482,86.85,-1.14,16.93,,,
123,2.118155955463656,0.257,95.10912,81.53,-2.97,14.14,,,
124,5.767182159007988,0.179,48.05145,92.37,-0.01,1.65,,,
125,7.600351918003852,0.177,9.365667,95.73,-0.84,4.25,,,
126,4.005858283980263,0.166,56.79453,93.4,-0.64,0.49,,,
128,14.640620275769091,0.159,6.114184,89.15,-1.45,11.2,,,
129,3.9393456695286297,0.155,62.25845,85.9,0.17,6.7,,,
13,,0.182,41.16193,91.64,1.54,1.75,,,
130,5.171553261697345,,7.484579,96.11,-1.25,6.59,,,
131,7.006595616059931,0.33,16.19821,94.03,-0.7,2.36,,,
132,6.226151779822391,0.131,57.64864,87.16,-1.41,10.9,,,
133,7.98441404537682,0.348,9.136509,,,,,,
134,4.103768429344893,0.176,41.03097,90.59,0.49,-0.44,,,
135,4.577523467344769,0.175,43.85759,90.75,0.36,-0.21,,,
136,4.935836355427235,0.176,29.26626,91.21,-0.3,1.35,,,
137,4.403590613023781,0.177,23.93876,91.78,-0.17,1.01,,,
138,6.885389781223956,0.179,42.79343,93.14,-0.49,1.15,,,
1380,12.166932572460585,0.178,7.91526,85.62,-0.19,12.01,,,
1381,11.793684007759536,0.177,8.484116,85.92,-0.26,11.69,,,
1382,4.506030637921314,0.143,48.52072,90.26,-1.09,9.34,,,
1383,26.820724845681926,0.345,10.47903,94.23,-0.45,8.57,,,
1384,8.133200460193548,,8.997786,92.09,-0.89,10.11,,,
1385,5.833582805699875,0.342,35.52869,93.81,-0.4,2.8,,,
1386,7.07135516819303,0.154,27.26404,92.11,-0.41,2.75,,,
1387,3.937423454193172,0.17,62.50909,93.56,-0.69,1.76,,,
1388,6.030976861857379,0.351,9.110947,95.51,-1.0,4.95,,,
1389,3.6239366402381936,0.288,55.94446,90.29,-0.94,7.41,,,
139,4.971749247618849,0.168,54.70252,92.53,-0.52,2.39,,,
1390,5.940652382890204,0.194,15.3301,91.7,0.17,6.76,,,
1391,4.187853667240005,0.167,57.47393,92.01,-1.88,6.14,,,
1392,6.765455077130282,0.285,9.578151,89.98,1.31,21.72,,,
1393,3.59480105917754,0.175,52.58083,89.87,1.4,1.8,,,
1394,3.617675375642924,0.178,52.00333,90.33,1.41,1.26,,,
1395,12.8241185552298,0.18,7.55596,93.04,-0.49,6.32,,,
1396,4.465373981774571,0.168,49.57798,95.55,-0.17,0.49,,,
1397,8.688641349249888,0.151,7.881595,87.9,-1.29,10.79,,,
1398,9.881667416989576,0.168,8.713266,91.99,-0.64,3.71,,,
1399,5.563170233790845,0.182,37.36086,92.76,-0.11,2.16,,,
140,20.812925152111166,0.261,3.889833,92.33,-1.2,7.49,,,
1400,5.922351984045144,0.337,11.5169,93.09,-0.96,7.65,,,
1401,6.920783861737864,0.328,10.85628,92.42,-0.85,6.65,,,
1402,12.204891218891456,0.306,6.193983,93.96,-1.68,12.06,,,
1403,18.485766917750453,0.286,5.148491,93.74,-1.63,10.61,,,
1404,5.894633829018722,0.173,,90.88,-1.01,7.02,,,
1405,9.73500502006389,0.169,67.06042,90.75,-1.33,8.98,,,
1406,4.67784739858713,0.181,54.58039,89.07,0.29,4.02,,,
1407,12.355342915069368,0.353,6.367239,95.73,-1.19,5.6,,,
