catalog,thickness
2089a,0.22
2089b,0.3
2089c,0.31
2089d,0.34
2089e,0.29
2089f,0.36
2089g,0.13
2089h,0.2
2089i,0.24
2089j,0.22
2089k,0.31
2089l,0.29
2089m,0.08
2089n,0.13
2089o,0.12
2089p,0.22
2089r,0.17
2089s,0.26
2089t,0.18
2089u,0.19
2089v,0.28
2089w,0.24
2089x,0.17
2089y,0.16
2089z,0.2
2089aa,0.39
2089bb,0.32
2089cc,0.22
2089dd,0.27
2089ee,0.29
2089ff,0.23
2089gg,0.26
2089hh,0.2
2632,0.305
2381,0.331
1001,0.161
983,0.353
1004,0.343
5003,0.355
4162,0.156
4201,0.177
2228,0.358
4228,0.167
1423,0.188
1420,0.329
4821,0.353
4227,0.363
1688,0.347
4999,0.178
1792,0.35
2179,0.276
912,0.356
2566,0.352
4190,0.182
4219,0.178
4220,0.182
4237,0.181
4249,0.182
916,0.213
59,0.174
103,0.353
1758,0.344
1761,0.351
2636,0.161
861,0.367
915,0.188
318,0.174
392,0.16
2169,0.156
61,0.158
63,0.171
64,0.166
2105,0.292
2453,0.27
4213,0.23
2378,0.174
1724,0.166
1725,0.168
1726,0.168
1482,0.36
4875,0.155
2966,0.273
4276,0.333
4277,0.166
4278,0.161
4823,0.19
4824,0.179
4826,0.182
4828,0.178
2302,0.195
4844,0.364
4298,0.173
4842,0.188
4843,0.181
4825,0.339
1525,0.347
4827,0.323
4822,0.173
4820,0.338
4829,0.335
1794,0.355
1729,0.09
909,0.175
1850,0.17
2330,0.169
2331,0.167
2344,0.169
2346,0.167
1851,0.366
2325,0.366
2345,0.36
2333,0.201
2321,0.365
60,0.152
1757,0.17
1759,0.159
1760,0.163
4148,0.174
2379,0.18
2380,0.175
2561,0.184
2565,0.163
4188,0.327
1834,0.338
1853,0.167
4215,0.177
4221,0.178
4256,0.176
250,0.354
4235,0.173
94,0.349
2336,0.168
2332,0.196
2334,0.202
2341,0.193
2342,0.197
2324,0.169
2337,0.366
215,0.371
2343,0.378
2323,0.369
2326,0.358
3107,0.162
2026,0.164
2752,0.175
5136,0.167
1785,0.267
1782,0.164
3103,0.272
1791,0.261
1838,0.265
3016,0.168
2382,0.312
2223,0.157
4194,0.16
5157,0.183
972,0.164
923,0.304
3216,0.178
4189,0.174
4839,0.173
4271,0.169
3210,0.151
3211,0.146
3212,0.165
2750,0.176
1755,0.124
252,0.353
2340,0.166
365,0.365
390,0.37
2316,0.176
2335,0.177
5197,0.371
2338,0.319
251,0.392
2329,0.372
4224,0.161
369,0.162
2136,0.17
2137,0.168
2138,0.176
2140,0.169
2005,0.287
2351,0.266
2429,0.176
2430,0.18
2000,0.26
2456,0.19
5040,0.153
2348,0.182
2349,0.184
2350,0.183
2127,0.1565
2347,0.165
201,0.169
5113,0.161
1717,0.16
1718,0.17
1719,0.155
1720,0.161
1721,0.161
1722,0.161
1723,0.158
2177,0.166
2178,0.167
1754,0.121
113,0.368
2183,0.333
2182,0.353
2230,0.179
4888,0.176
4889,0.165
65,0.175
4902,0.13
859,0.172
918,0.168
1854,0.166
2613,0.171
2614,0.171
2615,0.175
2616,0.166
2617,0.178
2619,0.169
1872,0.373
2098,0.357
2317,0.349
1828,0.352
2097,0.36
966,0.106
91,0.165
1454,0.16
83,0.187
85,0.178
2093,0.182
2454,0.278
2458,0.272
2620,0.239
2431,0.264
2427,0.268
2428,0.279
80,0.175
3043,0.129
3067,0.284
2156,0.182
2221,0.155
2229,0.156
4214,0.184
990,0.332
989,0.173
2,0.176
2314,0.348
84,0.177
1499,0.176
2027,0.179
2883,0.181
88,0.297
2642,0.175
2603,0.154
5038,0.311
1496,0.163
2921,0.175
140,0.261
1495,0.169
860,0.359
4938,0.289
236,0.362
124,0.179
2315,0.366
2106,0.19
957,0.182
955,0.374
2313,0.36
2760,0.18
2884,0.175
2886,0.178
2046,0.355
2780,0.299
1497,0.339
210,0.38
2888,0.329
4216,0.183
4217,0.181
4223,0.18
223,0.358
226,0.369
1500,0.164
48,0.161
363,0.355
133,0.348
191,0.173
864,0.186
1793,0.175
1797,0.1845
2096,0.177
2189,0.179
2407,0.337
2408,0.178
2410,0.338
2107,0.189
320,0.179
145,0.172
1425,0.1735
4167,0.348
5413a,0.129
5413b,0.286
3194,0.268
5439,0.288
5438,0.273
5001,0.15
5411a,0.21
5411b,0.17
5411c,0.2
5411d,0.19
5411e,0.26
5411f,0.18
5411g,0.14
5411h,0.13
5411i,0.19
5411j,0.18
5411k,0.16
507a,0.28
507b,0.21
507c,0.16
507d,0.23
38,0.347
40,0.351
949,0.337
2443,0.286
2767,0.166
32,0.167
33,0.167
34,0.299
1984,0.177
5033,0.306
1982,0.167
129,0.155
219,0.164
220,0.168
1986,0.328
928,0.184
1978,0.305
1530,0.33
1535,0.314
2373,0.172
2374,0.181
2595,0.184
2596,0.177
1989,0.183
4907,0.265
2461,0.143
2464,0.174
1879a,0.184
1879b,0.33
1879c,0.186
1879d,0.183
1879e,0.314
1879f,0.336
1879g,0.177
1879h,0.331
1879i,0.338
1879j,0.187
1879k,0.313
1879l,0.347
1879m,0.331
1879n,0.358
1879o,0.304
1879p,0.399
1879q,0.211
1879r,0.153
1879s,0.292
1879t,0.311
1879u,0.311
3189a,0.1
3189b,0.12
3189c,0.11
3189d,0.12
3189e,0.16
3189f,0.1
3189g,0.12
3189h,0.1
3189i,0.21
3189j,0.14
3189k,0.14
3189l,0.13
2211j,0.225
2211k,0.228
2211l,0.254
2211m,0.198
2211n,0.226
2211o,0.231
2211p,0.244
2211q,0.19
2211r,0.196
4903k,0.24
4903l,0.237
4903m,0.242
4784a,0.13
4784b,0.22
4784c,0.18
4784d,0.18
4784e,0.11
4784f,0.28
4784g,0.18
4784h,0.33
4784i,0.19
4784j,0.18
4784k,0.19
4784l,0.24
4784m,0.26
4784n,0.12
4784o,0.13
4784p,0.16
4784q,0.16
4784r,0.14
4784s,0.14
4784t,0.23
4784u,0.17
4784v,0.15
4784w,0.24
4784x,0.16
4784y,0.31
4784z,0.19
4784aa,0.16
4784bb,0.12
4784cc,0.15
4784dd,0.16
4784ee,0.16
4784ff,0.21
4784gg,0.21
4784hh,0.27
3191a,0.147
3191b,0.173
3191c,0.33
3191d,0.359
3191e,0.181
3191f,0.17
3191g,0.348
3191h,0.374
3191i,0.348
3191j,0.196
5444a,0.27
5444b,0.23
5444c,0.27
5444d,0.3
5444e,0.21
5444f,0.36
5444g,0.2
5444h,0.15
5444i,0.2
5444j,0.28
5444k,0.28
5444l,0.11
5538a,0.18
5538b,0.13
5538c,0.15
5538d,0.3
5538e,0.31
5538f,0.28
5538g,0.28
5538h,0.32
5538i,0.32
5538j,0.34
5538k,0.32
5538l,0.33
5538m,0.25
5538n,0.27
5538o,0.41
5538p,0.28
5538q,0.36
5538r,0.39
5538s,0.61
5538t,0.33
5539a,0.16
5539b,0.11
5539c,0.14
5539d,0.29
5539e,0.3
5539f,0.29
5539g,0.27
5539h,0.35
5539i,0.34
5539j,0.34
5539k,0.3
5539l,0.34
5539m,0.27
5539n,0.32
5539o,0.43
5539p,0.3
5539q,0.35
5539r,0.42
5539s,0.6
5539t,0.33
5537a,0.16
5537b,0.12
5537c,0.17
5537d,0.33
5537e,0.33
5537f,0.31
5537g,0.29
5537h,0.34
5537i,0.35
5537j,0.34
5537k,0.32
5537l,0.33
5537m,0.25
5537n,0.28
5537o,0.36
5537p,0.27
5537q,0.35
5537r,0.41
5537s,0.58
5537t,0.31
1880a,0.15
1880b,0.11
1880c,0.16
1880d,0.11
1880e,0.15
1880f,0.1
1880g,0.11
1880h,0.13
1880i,0.11
1880j,0.13
1880k,0.14
1880l,0.1
1880m,0.16
1880n,0.16
1880o,0.16
1880p,0.16
1880q,0.12
1880r,0.15
1880s,0.12
1880t,0.14
1880u,0.11
1880v,0.13
1880w,0.15
1880x,0.11
1880y,0.14
4790a,0.15
4790b,0.14
4790c,0.15
4790d,0.09
4790e,0.16
4790f,0.15
4790g,0.11
4790h,0.12
4790j,0.14
4790k,0.1
4790l,0.09
4790m,0.12
4790n,0.12
4790o,0.13
4790q,0.15
4790r,0.15
4790s,0.1
4790t,0.1
4790u,0.18
2319a,0.11
2319b,0.17
2319c,0.12
2319d,0.14
2319e,0.17
2319f,0.11
2319g,0.15
2319h,0.12
2319i,0.07
2319j,0.16
2319k,0.26
2319l,0.2
2319m,0.25
2319n,0.21
2319o,0.31
2319p,0.3
2319q,0.14
2319r,0.18
2319s,0.2
2319t,0.22
2319u,0.3
2319v,0.26
2319w,0.32
2319x,0.11
2319y,0.3
2319z,0.28
2319aa,0.14
2319bb,0.18
2319cc,0.389
2319dd,0.377
2319ee,0.378
2594,0.158
5160,0.168
925,0.175
921,0.161
1019,0.277
1020,0.314
1701,0.178
1705,0.205
1681,0.166
4182,0.342
1818,0.261
1391,0.167
1944,0.172
1439,0.314
4164,0.314
4174,0.181
4797,0.138
4798,0.14
4960,0.288
2927,0.286
2918,0.168
4238,0.166
4239,0.157
2924,0.287
2370,0.164
1983,0.163
1503,0.167
31,0.167
357,0.285
358,0.278
39,0.175
36,0.319
37,0.36
69,0.324
5509a,0.237
5509b,0.264
5509c,0.349
5509d,0.374
5509e,0.173
5509f,0.355
5509h,0.241
5509i,0.242
5509j,0.165
5509k,0.17
17a,0.173
17b,0.191
17c,0.16
17d,0.186
17e,0.295
17f,0.299
17g,0.282
17h,0.266
17i,0.17
17j,0.3
17k,0.277
17l,0.265
17m,0.28
17n,0.298
17o,0.299
17p,0.276
17q,0.271
3201a,0.175
3201b,0.202
3201c,0.178
3201d,0.192
3201e,0.303
3201f,0.291
3201g,0.275
3201h,0.266
3201i,0.176
3201j,0.291
3201k,0.283
3201n,0.297
3201o,0.289
3201p,0.289
3201q,0.279
3197a,0.334
3197b,0.333
3197c,0.4005
3197d,0.3995
3197e,0.414
3197f,0.1775
3197g,0.349
3197h,0.351
3197i,0.303
3197j,0.338
3197k,0.348
3197l,0.3465
3197m,0.293
3197n,0.338
3197o,0.165
3197p,0.3405
3197q,0.3085
3197r,0.23249999999999998
3197s,0.166
3197t,0.181
3197u,0.3465
3197v,0.303
875a,0.311
875b,0.291
875c,0.342
875d,0.325
875e,0.337
875f,0.184
875g,0.187
875h,0.317
875i,0.319
875j,0.338
875k,0.31
875l,0.181
875m,0.362
875n,0.31
875o,0.359
875p,0.308
875q,0.307
875r,0.308
875s,0.368
875t,0.207
875u,0.13
2372s,0.314
2372t,0.364
2372u,0.365
2372v,0.351
2372y,0.397
2372z,0.436
2372aa,0.326
2372ee,0.176
2372ff,0.365
2372hh,0.336
2372ii,0.338
2372jj,0.124
2372kk,0.353
2372ll,0.167
2372oo,0.183
2372a,0.177
2372b,0.308
2372e,0.332
2372f,0.343
2372h,0.17
2372i,0.335
2372j,0.174
2372k,0.356
2372l,0.175
2372m,0.362
2372o,0.339
2372r,0.318
2372cc,0.33
2372w,0.387
2372mm,0.353
2372g,0.331
2372d,0.364
2372c,0.347
2372nn,0.316
2372x,0.358
2372n,0.349
2372gg,0.359
2372bb,0.362
2372q,0.153
2372p,0.121
5165i,0.365
5165n,0.35
2075x,0.301
2075y,0.278
2075z,0.527
2087v,0.314
2087w,0.313
2087x,0.502
2077a,0.331
2077b,0.329
2077c,0.3
2077d,0.318
2077e,0.335
2077f,0.34
2077g,0.181
2077i,0.1855
2077k,0.346
2077l,0.284
2077m,0.306
2077n,0.314
2077o,0.352
2077p,0.307
2077q,0.316
2077r,0.34
2083a,0.271
2083b,0.249
2083c,0.167
2083d,0.271
2083e,0.302
2083f,0.277
2083g,0.295
2083h,0.155
2083i,0.187
2083j,0.339
2083k,0.264
2083l,0.268
2083m,0.312
2083n,0.275
2083o,0.263
2083p,0.157
2083q,0.255
2083r,0.297
2641a,0.289
2641b,0.283
2641c,0.293
2641d,0.296
2641e,0.261
2641f,0.17
2641g,0.287
2641h,0.272
2641i,0.327
2641j,0.283
2641k,0.276
2641l,0.282
2641m,0.322
2641n,0.281
2074a,0.293
2074b,0.159
2074c,0.161
2074d,0.287
2074e,0.319
2074f,0.303
2074g,0.316
2074h,0.291
2074i,0.258
2074j,0.29
2074k,0.189
2074l,0.289
2074m,0.384
2074n,0.263
2074o,0.256
2074p,0.3
2074q,0.284
2074r,0.277
2074s,0.346
2074t,0.439
5410a,0.417
5410b,0.341
5410c,0.351
5410d,0.299
5410e,0.338
5410f,0.182
5410g,0.346
5410h,0.346
5410i,0.35
5410j,0.3
5410k,0.336
5410l,0.358
5410m,0.335
5410n,0.341
5410o,0.294
5410p,0.336
5410q,0.167
5410r,0.35
5410s,0.311
5410t,0.237
5410u,0.167
5410v,0.17
5410w,0.18
5410x,0.359
5410y,0.306
5410z,0.135
5410aa,0.17
5303a,0.165
5303b,0.304
5303c,0.316
5303d,0.301
5303e,0.181
5303f,0.317
5303g,0.322
5303h,0.193
5303i,0.295
5303j,0.376
5303k,0.375
5303l,0.29
5303m,0.364
5303n,0.372
5303o,0.294
5303p,0.315
5303q,0.226
5303r,0.361
5303s,0.364
5170a,0.318
5170b,0.272
5170c,0.174
5170d,0.295
5170e,0.284
5170f,0.296
5170g,0.275
5170h,0.27
5170i,0.271
5170j,0.261
5170k,0.33
5170l,0.332
5170m,0.337
5170n,0.282
5170o,0.158
5170p,0.276
5170q,0.158
5170r,0.294
5170s,0.292
5170t,0.187
5170u,0.291
5170v,0.172
5170w,0.271
5170x,0.265
5170y,0.157
5170z,0.292
5170aa,0.09
5170bb,0.162
5170cc,0.165
5170dd,0.157
5170ee,0.164
5170ff,0.249
5170gg,0.267
5170hh,0.276
3198b,0.354
3198c,0.356
3198d,0.178
3198e,0.357
3198f,0.366
3198g,0.183
3198h,0.331
3198i,0.171
3198j,0.353
3198k,0.412
3198l,0.359
3198m,0.133
3198n,0.174
3198o,0.337
3198p,0.344
3198q,0.373
3198r,0.352
3198s,0.385
3198t,0.404
3198u,0.396
3198v,0.373
3198w,0.356
3198x,0.407
3198y,0.363
3198z,0.181
3198aa,0.373
3198bb,0.426
3198cc,0.355
3198dd,0.336
3198ee,0.187
3198ff,0.369
3198gg,0.341
3198hh,0.368
3198ii,0.366
3198jj,0.14
3198kk,0.373
3198ll,0.187
3198mm,0.355
3198nn,0.345
3198oo,0.189
3198pp,0.222
3198qq,0.141
3202a,0.124
3202b,0.337
3202c,0.352
3202d,0.333
3202e,0.164
3202f,0.351
3202g,0.364
3202h,0.288
3202i,0.372
3202j,0.385
3202k,0.19
3202l,0.329
3202m,0.369
3202n,0.193
3202o,0.433
3202p,0.366
3202q,0.377
3202r,0.344
3202s,0.424
3202t,0.333
2142a,0.297
2142b,0.363
2142c,0.407
2142d,0.181
2142e,0.379
2142f,0.353
2142g,0.39
2142h,0.184
2142i,0.171
2142j,0.282
2142k,0.283
2142l,0.285
2142m,0.15
2142n,0.12
2142o,0.275
2142p,0.303
2142q,0.277
2142r,0.298
2142s,0.339
2142t,0.282
2142u,0.27
2142v,0.325
2142w,0.278
2142x,0.314
2142y,0.11
2142z,0.13
2142aa,0.11
2142bb,0.15
2142dd,0.13
2142ee,0.13
2142ff,0.14
2142gg,0.09
2142hh,0.166
2142ii,0.295
2142jj,0.246
2142kk,0.248
2142ll,0.255
2142mm,0.15
2142nn,0.23
2142oo,0.27
2142pp,0.17
1023a,0.172
1023b,0.33
1023c,0.334
1023d,0.403
1023e,0.137
1023f,0.373
1023g,0.382
1023h,0.364
1023i,0.329
1023j,0.353
1023k,0.356
1023l,0.396
1023m,0.357
1023n,0.184
1023o,0.242
1023p,0.375
1023q,0.38
1023r,0.364
1023s,0.191
1023t,0.162
1023u,0.311
1023v,0.334
1023w,0.406
2113,0.169
2119,0.15
1786,0.147
2645,0.152
5121,0.159
3205,0.158
2122,0.162
2125,0.14
2480,0.152
2123,0.153
2522,0.161
3208,0.149
3015,0.27
5151,0.15
2124,0.148
4804,0.156
2118,0.293
994,0.303
1788,0.168
4939,0.148
1397,0.151
5148,0.224
2644,0.285
4936,0.145
2599,0.155
1743,0.146
1223,0.146
2646,0.298
999,0.151
1003,0.145
1981,0.14
4877,0.283
2121,0.15
939,0.144
2482,0.147
937,0.165
1504,0.163
5140,0.19
2447,0.155
2446,0.373
922,0.285
2444,0.282
2445,0.289
1985,0.153
5512a,0.2
5512b,0.33
5512c,0.32
5512d,0.23
5512e,0.36
5512f,0.28
5512g,0.27
5512h,0.32
5512i,0.36
5512j,0.34
5512k,0.31
5512l,0.44
5512m,0.19
4185,0.342
9,0.176
862,0.449
4299,0.285
4874,0.287
153,0.312
283,0.315
935,0.294
2955,0.3
4300,0.319
4301,0.348
4927,0.306
1400,0.337
1401,0.328
1751,0.169
1752,0.135
4168,0.339
2390,0.166
2919,0.176
4911a,0.11
4911b,0.15
4911c,0.17
4911d,0.3
4911e,0.26
4911f,0.15
4911g,0.21
4911h,0.19
4911i,0.16
4911j,0.22
4199k,0.22
4199l,0.12
4912a,0.281
4912b,0.291
4912c,0.294
4912d,0.31
4912e,0.318
4912f,0.327
4912g,0.261
4912h,0.265
4912i,0.329
4912j,0.306
4912k,0.347
4912l,0.31
4912m,0.307
4912n,0.348
4912o,0.18
4912p,0.312
4912q,0.316
4912r,0.299
4912s,0.31
4912t,0.297
4912u,0.275
4912v,0.286
4912w,0.318
4912x,0.304
4912y,0.302
4912z,0.301
4912aa,0.303
4912bb,0.306
4912cc,0.289
4912dd,0.283
4912ee,0.161
4912ff,0.163
4912gg,0.314
4912hh,0.302
4912ii,0.331
4912jj,0.147
5445,0.267
5446,0.312
1006a,0.14
1006b,0.17
1006c,0.16
1006d,0.19
1006e,0.38
1006f,0.24
1006g,0.33
1006h,0.27
1006i,0.29
1006j,0.35
1006k,0.39
1006l,0.19
1006m,0.13
1006n,0.15
1006o,0.22
1006p,0.27
2085a,0.177
2085b,0.1735
2085c,0.31
2085d,0.281
2085e,0.3205
2085f,0.304
2085g,0.3155
2085h,0.2895
2085i,0.3335
2085j,0.334
2085k,0.2755
2085l,0.3165
3150,0.381
401,0.179
16,0.38
399,0.257
1403,0.286
1948,0.182
2605,0.338
1011,0.163
1015,0.162
1529,0.323
967,0.181
3053,0.18
2181,0.28
3048,0.31
1835,0.167
2300,0.333
2417,0.179
2525,0.356
3050,0.168
117,0.308
2940,0.183
2925,0.163
105,0.155
328,0.169
1040,0.184
2472,0.175
2926,0.165
2930,0.178
2959,0.162
2963,0.18
2358,0.255
973,0.376
4269,0.184
1424,0.205
2375,0.287
4279,0.179
229,0.191
154,0.184
112,0.192
150,0.177
4246,0.344
4780,0.348
1404,0.173
4830,0.371
4831,0.36
158,0.169
1972,0.172
161,0.179
5138,0.279
2471,0.179
2469,0.175
2470,0.169
1442,0.336
15,0.348
1475,0.16
2014,0.16
2477,0.326
1556,0.343
2039,0.327
2475,0.347
2478,0.328
4275,0.344
244,0.349
1690,0.174
3115,0.343
3116,0.333
3117,0.324
239,0.371
240,0.351
1010,0.339
1013,0.337
1014,0.317
1016,0.354
1017,0.313
2473,0.345
2474,0.348
2931,0.329
2932,0.343
1689,0.19
5158,0.326
5159,0.322
2175,0.169
2176,0.17
4291,0.175
4292,0.158
269,0.174
270,0.168
325,0.167
326,0.164
1685,0.173
1687,0.181
1800,0.185
2188,0.185
2194,0.175
2224,0.169
2362,0.163
2363,0.16
2364,0.173
2476,0.169
2545,0.172
2766,0.165
2962,0.175
146,0.326
2013,0.169
182,0.36
203,0.315
204,0.351
187,0.17
4833,0.186
4832,0.175
4880,0.286
114,0.321
294,0.362
2068,0.178
249,0.363
2748,0.35
4270,0.167
1799,0.17
1798,0.178
207,0.159
136,0.176
137,0.177
345,0.17
400,0.166
1817,0.283
1820,0.305
4192,0.312
3063,0.341
1840,0.325
1941,0.328
82,0.172
216,0.178
241,0.169
242,0.175
243,0.167
1009,0.179
2231,0.316
81,0.344
1852,0.377
2232,0.359
402,0.166
4293,0.175
4802,0.176
104,0.169
106,0.173
134,0.176
135,0.175
159,0.185
206,0.165
1682,0.173
1683,0.173
1684,0.168
1686,0.174
1945,0.175
1946,0.174
2190,0.172
2191,0.163
2960,0.179
4144,0.172
4145,0.174
4146,0.179
1825,0.166
995,0.164
1824,0.165
2964,0.365
1676,0.183
2354,0.321
2455,0.275
2457,0.277
2355,0.17
1393,0.175
1394,0.178
2126,0.164
1823,0.163
152,0.168
208,0.174
1537,0.178
1538,0.18
5039,0.169
5041,0.161
2128,0.157
5117,0.179
5128,0.19
938,0.179
4211,0.194
4295,0.336
1802,0.171
1803,0.166
1806,0.347
1809,0.159
1810,0.167
2030,0.165
2031,0.157
2032,0.17
2033,0.165
962,0.172
2618,0.316
4879,0.175
2621,0.352
2880,0.186
1383,0.345
266,0.171
4198,0.177
4290,0.172
4294,0.171
265,0.178
267,0.177
268,0.171
271,0.176
1406,0.181
4878,0.165
3069,0.365
370,0.283
3091,0.276
1392,0.285
3089,0.278
3090,0.282
3176,0.267
3183,0.173
3184,0.157
3186,0.173
4243,0.279
4244,0.278
3077,0.289
3084,0.276
3085,0.277
3087,0.281
4992,0.256
3078,0.277
5112,0.166
3185,0.271
4118,0.29
3086,0.357
3144,0.345
3145,0.324
3170,0.357
3083,0.354
3088,0.356
1693,0.183
110,0.172
138,0.179
857,0.181
1691,0.357
1748,0.312
2992,0.281
5109,0.269
2130,0.164
2131,0.159
2132,0.306
2134,0.178
213,0.137
3011,0.362
1555,0.333
4855,0.351
1749,0.172
2359,0.165
4252,0.195
2192,0.174
2197,0.165
1390,0.194
1709,0.337
1712,0.341
1714,0.162
1716,0.161
1804,0.341
1805,0.334
2479,0.343
367,0.173
368,0.173
1713,0.178
1807,0.173
1808,0.176
1862,0.302
2622,0.301
3108,0.172
3110,0.173
1710,0.181
1711,0.185
1430,0.372
2028,0.167
2029,0.164
3106,0.17
143,0.169
371,0.17
393,0.166
2958,0.167
940,0.167
58,0.17
2393,0.288
2394,0.313
2162,0.288
2149,0.302
2161,0.271
4800,0.324
4857,0.284
4858,0.287
4840,0.311
4841,0.278
1389,0.288
3215a,0.277
3215b,0.272
3215c,0.288
3215d,0.309
3215e,0.256
3215f,0.276
3215g,0.311
3215h,0.277
3215i,0.269
3215j,0.195
3215k,0.158
3215l,0.269
3215m,0.304
3215n,0.283
3215o,0.256
3215p,0.291
3215q,0.311
3215r,0.284
289a,0.274
289b,0.301
289c,0.275
289d,0.281
289e,0.302
289f,0.169
289g,0.269
289h,0.284
5412a,0.171
5412b,0.171
5412c,0.154
5412d,0.285
5412e,0.285
5412f,0.336
5412g,0.162
5412h,0.278
5412i,0.282
5412j,0.287
5412k,0.295
5412l,0.298
5412m,0.28
5412n,0.284
5412o,0.365
5412p,0.387
5412q,0.313
5412r,0.311
5412s,0.163
5412t,0.285
5412u,0.373
5412v,0.289
5412w,0.458
4913a,0.259
4913b,0.272
4913c,0.257
4913d,0.256
4913e,0.253
4913f,0.257
4913g,0.174
4913h,0.161
4913i,0.255
4913j,0.256
4913k,0.247
4913l,0.24
4913m,0.27
4913n,0.285
4913o,0.273
4913p,0.148
4913q,0.145
5414a,0.153
5414b,0.172
5414c,0.163
5414d,0.167
5414e,0.274
5414f,0.278
5414g,0.254
5414h,0.262
5414i,0.283
5414j,0.281
5414k,0.257
5414l,0.267
5414m,0.276
5414n,0.248
5414o,0.263
5414p,0.281
5414q,0.278
5414r,0.158
5414s,0.162
5414t,0.262
5414u,0.291
5414v,0.257
5414w,0.257
5414x,0.282
5414y,0.23
5414z,0.281
5414aa,0.297
5414bb,0.109
5414cc,0.113
5414dd,0.117
5414ee,0.113
4782a,0.314
4782b,0.298
4782c,0.278
4782d,0.274
4782e,0.329
4782f,0.326
4782g,0.311
4782h,0.328
4782i,0.299
4782j,0.341
4782k,0.171
4782l,0.158
4782m,0.289
4782n,0.283
4782o,0.294
4782p,0.308
4782q,0.299
4782r,0.303
4782s,0.364
4782t,0.368
5497a,0.315
5497b,0.303
5497c,0.28
5497d,0.329
5497e,0.371
5497f,0.339
5497g,0.31
5497h,0.332
5497i,0.304
5497j,0.346
5497k,0.169
5497l,0.157
5497m,0.291
5497n,0.286
5497o,0.297
5497p,0.298
5497q,0.298
5497r,0.301
5497s,0.378
5440a,0.342
5510a,0.226
5510b,0.162
5510c,0.271
5510d,0.223
5510e,0.29
5510f,0.271
5510g,0.223
5510h,0.224
5510i,0.224
5510j,0.226
5510k,0.231
5510l,0.281
5510m,0.267
5510n,0.234
5510o,0.226
4792a,0.2245
4792b,0.162
4792c,0.2715
4792d,0.224
4792f,0.2765
4792g,0.223
4792h,0.2235
4792i,0.2245
4792j,0.226
4792k,0.227
4792l,0.2695
4792m,0.256
4792o,0.2205
2466a,0.125
2466b,0.235
2466c,0.234
2466d,0.231
2466e,0.336
2466f,0.368
2466g,0.181
2466h,0.403
2466i,0.359
2466j,0.37
1984a,0.133
1984b,0.244
1984c,0.237
1984d,0.228
1984e,0.318
1984f,0.363
1984g,0.182
1984h,0.371
1984i,0.364
292a,0.241
292b,0.241
292c,0.135
292d,0.235
292e,0.32
292f,0.364
292g,0.177
292h,0.389
292i,0.358
292j,0.375
2076a,0.165
2076b,0.293
2076c,0.169
2076d,0.305
2076e,0.299
2076f,0.29
2076g,0.287
2076h,0.304
2076i,0.269
2076j,0.283
2076k,0.273
2076l,0.286
2076m,0.334
2076n,0.3
2076o,0.317
2076p,0.166
2076q,0.295
2076r,0.181
2076s,0.3
2076t,0.182
2076u,0.268
2076v,0.278
2076w,0.168
2076x,0.287
2076y,0.168
2076z,0.287
2076aa,0.091
2076bb,0.095
2076cc,0.161
2076dd,0.169
2076ee,0.176
2934,0.325
2462,0.175
944,0.282
2945,0.322
2946,0.301
1707,0.179
2988,0.334
4161,0.157
5162,0.172
1462,0.178
1463,0.159
1464,0.172
1465,0.176
1466,0.317
1467,0.293
1468,0.29
1469,0.292
1470,0.306
1471,0.313
1472,0.306
1473,0.295
1477,0.174
951,0.344
2367,0.342
5164,0.164
878,0.347
880,0.181
1398,0.168
924,0.207
1706,0.165
5022,0.18
4158,0.162
4159,0.167
4920,0.282
4922,0.299
4923,0.279
4926,0.302
4921,0.306
4915,0.35
1943,0.355
1991,0.324
2638,0.212
2965,0.134
366,0.116
1452,0.137
2129,0.212
1747,0.163
952,0.158
5031,0.14
5131,0.138
5139,0.13
3172,0.18
3171,0.175
5153,0.258
2773,0.117
882,0.147
1787,0.152
391,0.29
98,0.146
5536a,0.246
5536b,0.135
5536c,0.354
5536d,0.351
5536e,0.338
5536f,0.35
5536g,0.312
5536h,0.169
5536i,0.194
5536j,0.358
5536k,0.32
5535a,0.246
5535b,0.132
5535c,0.342
5535d,0.351
5535e,0.321
5535f,0.34
5535g,0.316
5535h,0.171
5535i,0.201
5535j,0.365
5535k,0.319
5534a,0.241
5534b,0.128
5534c,0.352
5534d,0.35
5534e,0.34
5534f,0.348
5534g,0.322
5534h,0.168
5534i,0.188
5534j,0.356
5534k,0.312
298a,0.237
298b,0.133
298c,0.353
298d,0.353
298e,0.338
298f,0.345
298g,0.307
298h,0.171
298i,0.195
298j,0.379
298k,0.312
5447a,0.11
5447b,0.19
5447c,0.34
5447d,0.13
5447e,0.25
5447f,0.16
5447g,0.23
5447h,0.24
5447i,0.14
5447j,0.18
5447k,0.21
5447l,0.25
5447m,0.12
5447n,0.2
5447o,0.12
5447p,0.1
5447q,0.15
5447r,0.09
5447s,0.14
5447t,0.11
5447u,0.28
5447v,0.23
5447w,0.3
5447x,0.16
5447y,0.22
5406a,0.293
5406b,0.368
5406c,0.195
1882a,0.304
1882b,0.36
1882c,0.299
1882d,0.287
1882e,0.322
1882f,0.309
1882g,0.307
1882h,0.286
1882i,0.31
1882j,0.346
1882k,0.339
1882l,0.318
1882m,0.303
1882n,0.311
1882o,0.304
1882p,0.286
1882q,0.385
1882r,0.363
1882s,0.481
