catalog,thickness
2564,0.29
4133,0.279
4134,0.274
4135,0.276
3025,0.284
4942,0.247
2063,0.28300000000000003
5018,0.283
3148,0.243
5072,0.249
5019,0.248
4950,0.286
1765,0.212
964,0.283
1677,0.288
2980,0.283
2981,0.293
1992,0.289
1999,0.276
2036,0.29
2062,0.282
2064,0.272
2066,0.282
1708,0.29
2979,0.281
122,0.245
1998,0.247
2065,0.248
2051,0.251
1843,0.284
2975,0.271
2971,0.273
2974,0.274
1026,0.231
1861,0.296
1873,0.296
4919,0.166
1874,0.293
1995,0.28
1025,0.28
4807,0.296
3000,0.246
2985,0.281
3061,0.289
2624,0.251
3059,0.244
4930,0.243
5103,0.209
2061,0.345
4860,0.339
4861,0.343
1845,0.342
1846,0.357
4232,0.23
3157,0.239
1847,0.234
1848,0.226
1849,0.241
2186,0.229
4233,0.23
4234,0.219
4811,0.249
3158,0.18
4123,0.297
2227,0.239
2025,0.223
1767,0.247
1994,0.245
3160,0.185
2973,0.351
1993,0.233
5053,0.232
5036 no  brand,0.206
5030,0.208
5036,0.207
5064,0.281
1964,0.232
2060,0.287
3060,0.231
5012,0.27
334,0.165
2983,0.288
3030,0.288
1844,0.244
1875,0.241
1877,0.241
3018,0.242
3019,0.239
3021,0.237
3022,0.237
3023,0.237
3024,0.235
3029,0.239
3031,0.242
4119,0.244
2405,0.291
3039,0.3
3044,0.295
5015,0.288
5013,0.238
5014,0.242
5090,0.23
5059,0.23
5100,0.23
5102,0.231
5044,0.231
5058,0.229
5101,0.23
4116,0.24
5048,0.227
5055,0.226
3174,0.293
3135,0.18
2413,0.282
2568,0.294
1876,0.207
5047,0.217
2567,0.284
2244,0.214
5029,0.291
5094,0.228
5051,0.229
5062,0.2765
2056,0.29
1997,0.308
2442,0.246
5091,0.227
5086,0.265
5093,0.228
2562,0.243
2401,0.274
4304,0.242
1814,0.225
1812,0.23
2421,0.234
3034,0.222
5129,0.285
1018,0.344
2400,0.275
2052,0.246
2059,0.244
2185,0.245
2247,0.238
2248,0.241
5193,0.22
2508,0.248
1837,0.227
5060,0.229
5065,0.229
2392f,0.401
2392e,0.293
2392d,0.289
2392a,0.24
2392b,0.242
5034,0.282
2392g,0.249
883,0.336
2392c,0.229
5081,0.234
2520,0.277
1996,0.223
1841,0.236
1842,0.233
5085,0.248
2053,0.243
2397,0.3
2639f,0.362
2639c,0.253
2639d,0.239
2639e,0.274
2639a,0.24
2639g,0.274
5011,0.27
1413,0.226
2972,0.281
2054,0.246
3017,0.241
2398,0.288
3062,0.292
2246,0.313
5063,0.184
