catalog,g60
147,60.59706
1470,49.9689
1471,70.46916
1472,69.817035
1473,49.32664
1474,49.02733
1475,10.40487
1476,57.63572
1477,57.5546
1478,5.56549
1479,5.4108
148,64.63084
1480,6.030549
1481,5.346996
1482,10.14928
1483,27.77467
1484,32.27782
1485,31.27252
1486,28.91746
1487,28.96393
1488,28.94681
1489,31.42373
149,9.749304
1490,32.45483
1491,30.76672
1492,29.2327
1493,29.6227
1494,32.25499
1495,40.62876
1496,50.26194
1497,7.241206
1498,19.08969
15,10.00474
150,57.82214
1500,47.77604
1501,8.160911
1502,12.31438
1503,46.94094
1504,11.13499
1505,49.96725
1506,6.027856
1507,5.963142
1508,6.065725
1509,6.156287
151,64.57281
1510,10.99194
1511,7.707989
1512,9.388827
1513,7.609544
1514,25.66705
1515,8.088305
1516,9.91206
1517,49.56853
1518,57.18786
1519,10.14412
152,44.084
1520,11.10151
1521,11.05034
1522,7.106117
1523,9.785072
1524,12.09571
1525,7.288619
1526,6.73475
1527,35.98094
1528,40.01239
1529,9.700953
153,5.842883
1530,50.60096
1531,48.18478
1532,46.42357
1534,47.16278
1535,55.60615
1537,46.63945
1538,34.45374
1539,52.07623
154,35.29502
1540,23.97805
1541,54.144
1542,5.399503
1543,55.25537
1544,44.4304
1545,36.52079
1546,50.6715
1547,52.47742
1548,52.59243
1549,13.03459
155,65.67224
1550,10.59289
1551,53.04394
1552,8.358428
1553,13.29305
1554,46.93597
1555,10.10403
1556,10.5097
1557,55.16968
1558,54.45158
156,69.09013
159,26.3859
16,7.258767
160,8.952381
161,11.12771
162,8.284794
164,62.92032
165,63.88771
166,76.42834
167,22.73993
1670,47.24298
1671,68.59086
1672,48.71099
1673,29.00323
1674,40.66837
1675,69.66219
1676,50.33452
1677,54.50336
1678,92.64566
1679,96.34378
1680,96.19006
1681,51.18485
1682,44.09348
1683,48.3836
1684,51.39568
1685,52.31334
1686,21.71493
1687,42.06271
1688,7.550863
1689,8.147381
169,11.29215
1690,6.745016
1691,12.06201
1692,13.9481
1693,45.2956
1694,14.77203
1697a,92.97559
1697aa,93.68052
1697b,9.186872
1697bb,39.20682
1697c,7.685916
1697cc,13.94627
1697d,13.78761
1697dd,16.01641
1697e,17.99466
1697ee,92.15683
1697f,91.53695
1697ff,12.91781
1697g,17.27997
1697gg,12.82252
1697h,15.99098
1697hh,15.05839
1697i,8.798257
1697ii,15.71236
1697j,23.19445
1697jj,11.2778
1697k,23.93363
1697kk,12.24424
1697l,8.186658
1697ll,91.8073
1697m,17.86801
1697mm,87.18552
1697n,17.9297
1697o,2.622284
1697p,14.01391
1697q,11.87468
1697r,17.23214
1697s,12.53257
1697t,6.601226
1697u,1.972343
1697v,16.48424
1697w,7.274216
1697x,14.70786
1697y,10.28565
1697z,11.76797
1699,16.11437
1701,10.77234
1702,56.83893
1703,15.26294
1704,48.41997
1705,8.348408
1706,47.43814
1707,9.81758
1708,58.16129
1709,8.612661
171,6.588648
1710,11.30817
1711,11.80916
1712,7.553867
1713,51.23774
1714,8.368895
1715,58.73771
1716,7.753541
1717,47.44771
1718,32.48322
1719,50.509
172,70.40618
1720,52.22877
1721,35.46974
1722,36.0313
1723,34.33837
1724,40.19308
1725,39.12867
1726,40.53102
1729,4.334162
173,14.43244
1730,98.43109
1731,13.383
1732,42.6615
1733,5.866848
1734,93.05525
1736,53.37609
1737,16.97949
1738,15.81563
1739,51.72887
174,9.981293
1740,6.216944
1741,87.72791
1742,58.40465
1743,50.44218
1744,10.88515
1745,12.63607
1746,21.17911
1747,3.058709
1748,12.83871
1749,35.2812
175,68.697925
1751,44.3531
1752,9.407233
1754,8.502677
1755,8.660738
1756a,86.92502
1756b,10.80832
1756c,24.00266
1756d,15.25115
1756e,41.33826
1756f,40.46597
1756g,2.981661
1756h,14.51869
1756i,4.440202
1756j,5.742813
1756k,16.27331
1757,56.08512
1758,15.6463
1759,62.69733
1760,56.31235
1761,7.700634
1762,91.04672
1763,33.26029
1764,96.64854
1765,66.21352
1766,4.596033
1767,23.27654
1768,98.50704
1769,95.83151
177,63.92036
1770,97.38415
1771,72.48512
1781,8.609083
1782,63.08792
1784,15.9785
1785,67.07146
1786,14.30842
1787,7.523732
1788,43.04935
1789,61.1995
179,42.08232
1791,12.39365
1792,9.985336
1793,44.67496
1794,14.48532
1795,10.14972
1797,53.98972
1798,51.09813
1799,42.80948
17a,77.81126
17b,22.74753
17c,85.10972
17d,21.08741
17e,8.215443
17f,2.62918
17g,26.47246
17h,35.51181
17i,77.77373
17j,4.976002
17k,3.957932
17l,33.31743
17m,90.55527
17n,4.947713
17o,1.06094
17p,4.568641
17q,4.258054
18,55.16263
180,49.82726
1800,48.46673
1802,8.583584
1803,8.58795
1804,13.77574
1805,7.724702
1806,20.94227
1807,57.57758
1808,53.85524
1809,7.708393
181,44.41263
1810,7.240327
1811,31.40581
1812,90.01215
1813,19.06599
1814,42.71357
1815,12.55962
1816,10.16766
1817,12.4414
1818,7.001917
1819,41.35481
182,10.36735
1820,9.340692
1821,10.19987
1822,20.78948
1823,44.31149
1824,39.45487
1825,41.90276
1826,3.614281
1827,65.60801
1828,11.53986
1829,80.86845
183,93.60771
1830,32.34354
1831,63.38977
1832,66.58689
1834,10.49029
1835,10.43515
1837,41.56118
1838,17.51313
1839,18.309
184,49.79898
1840,17.41372
1841,29.76538
1842,28.92793
1843,9.627254
