cat,mloc,LAB_L,LAB_A,LAB_B,hue,saturation,lightness
2081h,dmin,93.78,0.19,5.11,38.179280840198885,0.3574574033442513,0.9200491162223496
2081i,dmax,17.23,0.74,5.82,36.12745951102988,0.1562431594777848,0.1585535599186049
2081i,dmin,91.7,1.7,14.12,35.927714880313204,0.6908215666491433,0.8825142230903109
2081j,dmax,13.63,1.42,5.0,30.901355690889773,0.1715389749755842,0.1324093679755216
2081j,dmin,94.17,0.27,4.78,37.3851100875911,0.3639292993382905,0.9254336657565846
2081k,dmax,22.4,0.74,1.36,23.10713214694624,0.0376129754391675,0.2100421258739428
2081k,dmin,93.88,-0.38,5.64,42.72648776174936,0.3557037976982025,0.91777543529496
2081l,dmax,21.3,0.53,5.05,36.53626085597432,0.113765905258349,0.1936231385268849
2081l,dmin,89.79,1.05,14.63,37.8189733975828,0.5690734490744764,0.8576529509760884
2466a,dmax,13.83,0.4,-0.2,316.9722208788729,0.008857399136535,0.138770178870578
2466a,dmin,82.84,-0.06,3.59,40.28962196150155,0.0950882104537895,0.8013131864089154
2466b,dmax,8.49,1.68,1.79,16.229086643963456,0.1124819786394406,0.0978186022617387
2466b,dmin,85.2,-0.35,1.6,50.12673330979186,0.042940787299542,0.8299807618481889
2466c,dmax,11.22,1.36,1.13,12.249388685046426,0.0667927628164868,0.1194383931893482
2466c,dmin,89.15,-0.4,0.75,71.76734013793032,0.0256988161874834,0.875657712580342
2466d,dmax,11.49,0.76,2.66,30.19760403238439,0.1030598959908962,0.1175267445986193
2466d,dmin,90.17,-0.48,1.05,66.53753015700653,0.0383401344709016,0.8859120467155923
2466e,dmax,16.9,0.25,0.63,26.4555708920924,0.0201200816309063,0.1631667080789432
2466e,dmin,86.96,-0.36,7.14,42.16209182430879,0.2264363865700386,0.8378726845702802
2466f,dmax,13.54,0.33,6.87,39.73368091558456,0.212792610304991,0.125343282364816
2466f,dmin,88.02,-1.06,7.35,46.74225871137583,0.2296713719762927,0.8463663295228765
2466g,dmax,21.64,0.68,-0.8,272.26356227466255,0.0139194695390057,0.2051510580152448
2466g,dmin,87.84,1.35,-0.37,331.3238681593223,0.0468212398704147,0.8667533830266754
2466h,dmax,18.85,0.44,4.03,36.176725884754205,0.0998370297374463,0.1744364205597947
2466h,dmin,88.23,-0.85,9.02,44.41676659080576,0.291024764388145,0.8458927966769318
2466i,dmax,7.49,2.16,-3.51,256.998124763261,0.1100785622566486,0.0958230513705509
2466i,dmin,87.08,1.6,0.63,1.5381902602487116,0.068701769897521,0.860338971919506
2466j,dmax,16.66,0.38,3.43,36.007731524947644,0.093207327193087,0.1570572757297542
2466j,dmin,88.1,-0.63,8.64,43.358431424894775,0.2838345959455335,0.8461422748877626
76a,dmax,15.87,0.25,0.57,25.40809376421862,0.0194929235219254,0.1547463402616665
76a,dmin,89.53,0.06,2.71,38.54450327615643,0.1217373560375455,0.877160469885804
76b,dmax,10.92,1.02,1.53,20.718937734759777,0.0740389293721898,0.1155171591452109
76b,dmin,90.77,-0.41,1.21,57.81703275463229,0.0467716405082875,0.8920708866693137
76c,dmax,7.66,1.15,-0.01,344.6054221646929,0.0447119608465471,0.0917237330921694
76c,dmin,86.56,-0.35,0.93,60.52454249623536,0.0243932900051845,0.8462888205874471
76d,dmax,8.66,1.1,2.3,25.242431502321665,0.118181446400764,0.0967977777344034
76d,dmin,88.91,-0.43,1.49,54.42831203345156,0.0500274375886024,0.8707860060489597
76e,dmax,13.32,0.17,1.32,34.73023674475297,0.0425463247321288,0.1326181445759163
76e,dmin,89.74,-0.46,8.0,42.558059415488856,0.3076607045136937,0.8663145159855634
76f,dmax,11.69,0.29,7.21,40.34782043843376,0.2487952552034909,0.1098073275591715
76f,dmin,91.06,-1.17,7.28,47.58335767245666,0.2890435523399555,0.8797135866362372
76g,dmax,25.45,0.42,-0.44,278.45484981232767,0.0069505137551185,0.2374231495877426
76g,dmin,82.42,1.26,-0.69,313.59579644957296,0.0263879046221778,0.8064293220582253
76h,dmax,17.76,0.42,3.37,35.45374537929399,0.0880464831167227,0.1663994092925166
76h,dmin,90.9,-0.88,8.86,44.62103742802936,0.355482728826695,0.8756569666544174
76i,dmax,10.86,1.7,-3.63,245.90937900049943,0.0868339747976896,0.1230255834906896
76i,dmin,88.7,1.84,-1.67,286.0574090796081,0.0671030141716039,0.8774603313550391
76j,dmax,15.11,0.39,3.46,36.00182322424473,0.1010549793493392,0.1443076076127746
76j,dmin,86.96,-0.59,8.81,43.110540117522646,0.2675143873523041,0.8333762067000245
292a,dmax,12.77,1.05,1.19,16.80029693999279,0.0573017492500915,0.1308742599776668
292a,dmin,86.17,-0.35,1.28,53.40533517131132,0.0352695612855998,0.841273141755386
292b,dmax,11.77,0.92,0.39,2.3832016006814456,0.0326726043984136,0.1237173411656935
292b,dmin,86.54,-0.14,0.42,56.99041358228118,0.0116570187625951,0.8478748171964592
292c,dmax,13.49,0.57,0.51,13.31557916595824,0.0264745630319788,0.136353991844485
292c,dmin,79.94,-0.24,3.42,42.66688187922483,0.0745404621154217,0.7694495790186057
292d,dmax,11.74,0.97,2.3,26.367553734800083,0.09414073015593,0.120663757721825
292d,dmin,85.17,-0.38,1.34,54.07814312643342,0.034072314935887,0.8300454018353426
292e,dmax,16.82,0.21,1.45,34.16193942392306,0.039987422511735,0.1611206404700002
292e,dmin,86.64,-0.45,7.89,42.55084635667925,0.2402377052689779,0.832394445894825
292f,dmax,15.02,0.37,8.73,40.463173080490265,0.2531136555586907,0.1338130507280775
292f,dmin,87.93,-1.03,7.54,46.36962189515566,0.2348985499640312,0.845085489984613
292g,dmax,24.55,0.64,-1.11,254.9447686325857,0.0161477302647862,0.2313662194618342
292g,dmin,86.38,1.29,-0.52,323.4939401964059,0.0375942849058331,0.8502262947721062
292h,dmax,18.63,0.27,4.68,38.3339393140854,0.1136819193524113,0.1709609880733602
292h,dmin,86.05,-0.83,9.04,44.32370636328619,0.2514619462876667,0.8219563689454437
